Iteration,zeta,ESS,mu,gamma,sigma_j,sigma_v,rho,k,v_p,lat_z,lat_v
59,0.118693,1807.72,0.167,0.49,0.6135,0.31,0.6465,0.356,0.348,0.142901,0.378298
60,0.122566,1617.02,0.147,0.1455,0.6075,0.2935,0.635,0.352,0.36,0.137987,0.378278
61,0.125565,1446.7,0.524,0.495,0.633,0.2675,0.627,0.351,0.333,0.135371,0.3775
62,0.128126,1292.18,0.147,0.134,0.6245,0.274,0.635,0.338,0.346,0.131305,0.376424
63,0.130255,1160.92,0.47,0.49,0.612,0.285,0.6515,0.316,0.3245,0.128258,0.378245
64,0.132166,1046.19,0.126,0.131,0.615,0.2725,0.651,0.315,0.317,0.123974,0.377132
65,0.133861,2000,0.4115,0.938,0.7105,0.2925,0.695,0.321,0.2865,0.107563,0.388593
66,0.141051,1807.39,0.097,0.232,0.7115,0.277,0.665,0.3115,0.288,0.102268,0.38797
67,0.144196,1628.33,0.3685,0.7015,0.703,0.2505,0.648,0.301,0.27,0.0998576,0.388305
68,0.146703,1462.32,0.078,0.681,0.706,0.2595,0.649,0.3055,0.2665,0.0971026,0.386874
69,0.148787,1318.35,0.3295,0.687,0.6975,0.25,0.6555,0.2925,0.2625,0.0953179,0.384606
70,0.150657,1187.36,0.079,0.6805,0.7115,0.2515,0.6715,0.277,0.2555,0.0912483,0.382699
71,0.152316,1077.16,0.3265,0.675,0.7055,0.252,0.662,0.2745,0.2745,0.0901755,0.384467
72,0.153972,2000,0.063,0.694,0.712,0.244,0.684,0.238,0.214,0.0804636,0.380877
73,0.160994,1809.05,0.2575,0.6885,0.7055,0.2555,0.6715,0.231,0.2,0.0782715,0.379632
74,0.164272,1625.02,0.0525,0.7015,0.6845,0.246,0.6955,0.2425,0.2085,0.0761755,0.378103
75,0.16672,1468.3,0.2555,0.6915,0.692,0.227,0.657,0.2065,0.2175,0.0744801,0.379397
76,0.168958,1317.82,0.0485,0.7145,0.7115,0.239,0.6815,0.1895,0.2025,0.0727219,0.380377
77,0.170987,1182.33,0.233,0.699,0.7225,0.222,0.6745,0.2265,0.1845,0.0707848,0.378967
78,0.172808,1063.03,0.0525,0.714,0.7015,0.2185,0.6705,0.208,0.216,0.0693311,0.377311
79,0.174424,2000,0.23,0.7095,0.709,0.2505,0.683,0.159,0.1425,0.0625795,0.36752
80,0.18168,1806.49,0.0465,0.72,0.723,0.2405,0.672,0.159,0.518,0.0616225,0.367354
81,0.184877,1631.98,0.214,0.6985,0.714,0.231,0.6545,0.155,0.134,0.0591623,0.366318
82,0.187464,1470.84,0.034,0.703,0.719,0.227,0.646,0.1425,0.498,0.0585397,0.364066
83,0.189646,1326.32,0.1985,0.693,0.729,0.214,0.6765,0.5355,0.1225,0.0573344,0.365268
84,0.191624,1196.54,0.0445,0.712,0.712,0.214,0.669,0.132,0.481,0.0566026,0.365341
85,0.193598,1071.42,0.183,0.7065,0.705,0.217,0.66,0.485,0.117,0.0545563,0.363914
86,0.19537,2000,0.051,0.69,0.725,0.2485,0.663,0.126,0.4105,0.049553,0.35306
87,0.202834,1797.81,0.222,0.714,0.717,0.239,0.6695,0.426,0.088,0.0496556,0.352434
88,0.206338,1613.01,0.044,0.707,0.6925,0.2235,0.6655,0.1005,0.3495,0.0484934,0.353424
89,0.20905,1457.48,0.2015,0.705,0.7,0.221,0.648,0.414,0.074,0.0474801,0.351179
90,0.211754,1302.99,0.051,0.701,0.6955,0.2175,0.664,0.0975,0.336,0.0464801,0.35353
91,0.214063,1174.89,0.199,0.6795,0.699,0.208,0.6845,0.3715,0.076,0.0449934,0.350209
92,0.216366,1052.96,0.0505,0.705,0.699,0.208,0.6715,0.095,0.324,0.044649,0.350679
93,0.218661,2000,0.2465,0.6875,0.7015,0.2255,0.654,0.382,0.062,0.0412053,0.351298
94,0.227436,1803.23,0.0505,0.6945,0.713,0.2305,0.6525,0.0835,0.279,0.0400464,0.350414
95,0.231586,1629.04,0.235,0.69,0.7045,0.213,0.677,0.3335,0.056,0.0396424,0.350411
96,0.235338,1458.05,0.0395,0.706,0.7255,0.2045,0.656,0.0755,0.259,0.0391457,0.349109
97,0.238698,1306.76,0.225,0.705,0.7145,0.1955,0.6455,0.3425,0.058,0.0386192,0.351219
98,0.241672,1178.76,0.0425,0.685,0.7135,0.193,0.649,0.0715,0.2575,0.0374967,0.349964
99,0.244634,1058.88,0.211,0.7045,0.716,0.1895,0.665,0.329,0.052,0.0374901,0.349864
100,0.247585,2000,0.0565,0.709,0.7285,0.187,0.664,0.07,0.237,0.0337881,0.360533
101,0.258606,1809.23,0.2965,0.701,0.733,0.182,0.6565,0.349,0.0385,0.0338245,0.35997
102,0.264399,1621.38,0.061,0.689,0.726,0.17,0.639,0.0785,0.204,0.032947,0.360103
103,0.268709,1467.24,0.275,0.708,0.7085,0.1615,0.644,0.3365,0.048,0.0336026,0.359566
104,0.272994,1311.28,0.056,0.7005,0.7155,0.168,0.631,0.082,0.2075,0.0324205,0.356755
105,0.276544,1185.84,0.257,0.708,0.7105,0.1775,0.6425,0.3095,0.038,0.0315265,0.357815
106,0.280076,1061.95,0.052,0.7045,0.7095,0.1505,0.641,0.0695,0.1965,0.0315894,0.357275
107,0.283591,2000,0.3995,0.7075,0.7105,0.15,0.6395,0.3195,0.039,0.0296192,0.363434
108,0.296184,1807.65,0.0975,0.6955,0.711,0.1595,0.6425,0.067,0.16,0.0295132,0.364848
109,0.30237,1617.76,0.369,0.7035,0.7105,0.1595,0.6555,0.32,0.033,0.0290993,0.36606
110,0.307139,1450.81,0.0875,0.7015,0.711,0.142,0.6315,0.0655,0.153,0.0281987,0.362421
111,0.311199,1307.41,0.3675,0.7185,0.686,0.4995,0.629,0.2945,0.044,0.028202,0.362848
