mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
-0.188619,0.000675074,0.47786,0.169462,-0.0387768,0.0274559,1.48387,0.00869926,0.000406265,3487.41
-0.147226,0.000619679,0.479073,0.174213,0.056069,0.0185739,1.77675,0.0117482,0.000548656,3503.37
-0.14715,0.000611318,0.434442,0.173871,0.00951146,0.0184784,1.78596,0.0142575,0.000665843,3502.89
-0.147134,0.000801734,0.439905,0.173683,-0.0343815,0.018517,1.78002,0.0114132,0.00053301,3504.07
-0.267844,0.000774318,0.528731,0.192878,-0.0131739,0.0270926,1.62449,0.0117069,0.000546727,3507.58
-0.147226,0.000837996,0.508403,0.173805,0.0473596,0.0185116,1.78115,0.0077864,0.000363634,3490.7
-0.147226,0.000795407,0.450403,0.173795,0.135863,0.018507,1.78218,0.00540746,0.000252534,3467.82
-0.188544,0.000665422,0.477594,0.168766,0.0188027,0.027597,1.4715,0.00504178,0.000235457,3474.67
-0.147226,0.000870245,0.510218,0.174671,0.130671,0.0184573,1.78835,0.00968437,0.000452271,3503.01
-0.147226,0.000658905,0.563699,0.173799,0.0328489,0.0185048,1.78274,0.0118689,0.000554293,3509.79
-0.147226,0.000747409,0.493526,0.173828,-0.157878,0.0185076,1.78274,0.0106524,0.000497479,3518.32
-0.237765,0.000680432,0.432519,0.13699,0.104297,0.0223943,1.37809,0.00796124,0.000371799,3485.26
-0.146724,0.000528319,0.422461,0.174204,0.0633826,0.0184636,1.79195,0.00707189,0.000330265,3497.21
-0.147226,0.000676397,0.39579,0.173704,0.0279155,0.0185359,1.77886,0.00652445,0.000304699,3477.46
-0.262341,0.00105494,0.501985,0.179732,-0.115323,0.0273049,1.52207,0.00579423,0.000270597,3473.3
-0.215456,0.000412385,0.382154,0.17128,0.0811738,0.0285964,1.47219,0.00619559,0.000289341,3478.08
-0.147226,0.000747528,0.486957,0.173592,0.0240964,0.0185252,1.77837,0.00640789,0.000299256,3480.15
-0.265015,0.0006372,0.401103,0.178415,0.204701,0.025607,1.57229,0.00830622,0.00038791,3495.25
-0.147226,0.000780738,0.452804,0.173595,0.0232943,0.0184834,1.78289,0.00833661,0.000389329,3486.63
-0.188636,0.0006811,0.479578,0.171748,-0.141834,0.0276745,1.48579,0.00817305,0.00038169,3496.76
-0.181419,0.000762362,0.420325,0.184415,0.0444626,0.0249284,1.63183,0.0126663,0.00059153,3511.81
-0.147276,0.000698998,0.473145,0.174305,0.0208681,0.0183629,1.8013,0.00702877,0.000328252,3500.53
-0.227585,0.000495521,0.539644,0.16282,0.0442325,0.0250396,1.48809,0.00588381,0.000274781,3473.87
