mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
1.07955,0.000185845,0.476125,0.162486,-0.0388525,2.29913,0.00990165,3.71073e+19,0.000379646,3590.38
1.08126,-5.39682e-05,0.393164,0.150036,-0.0613934,2.22934,0.00894348,5.65164e+19,0.000578221,3609.94
1.07603,0.000183827,0.454705,0.127886,0.0501819,1.92178,0.00867904,4.1314e+19,0.000422684,3586.2
1.07777,0.000325466,0.480598,0.160094,0.0859187,2.13608,0.0109233,2.72666e+19,0.000278965,3582.59
1.07724,0.0003842,0.424827,0.147929,0.0391959,1.95964,0.0111138,4.23445e+19,0.000433227,3596.05
1.07803,0.000224798,0.427837,0.143116,0.197674,2.01511,0.00981913,7.50865e+19,0.000768211,3609.61
1.07908,6.24086e-05,0.505373,0.159247,0.106897,2.23455,0.00996547,4.13906e+19,0.000423468,3589.6
1.07302,0.000227593,0.477119,0.15867,0.0672177,2.17262,0.0104586,3.39461e+19,0.000347304,3592.18
1.07718,0.000137001,0.414811,0.141241,0.170093,1.9541,0.0101503,5.00486e+19,0.000512048,3598.63
1.08129,0.000188297,0.434386,0.125563,0.0782546,1.80448,0.00942667,6.03005e+19,0.000616936,3603.42
1.08411,0.000407697,0.423648,0.147005,0.120652,2.10431,0.00952607,3.21317e+19,0.00032874,3588.45
1.07253,4.65107e-05,0.490282,0.15073,0.0500251,1.98235,0.0111902,4.19349e+19,0.000429037,3587.26
1.07299,0.000163296,0.468985,0.155367,0.124051,2.08392,0.0107591,3.07029e+19,0.000314121,3590.5
1.07882,0.000404387,0.486587,0.161293,0.00812442,2.31672,0.00968404,6.17238e+19,0.000631497,3616.54
1.08023,0.000127021,0.399264,0.168645,0.0363249,2.38532,0.0100059,3.81797e+19,0.000390617,3596.73
1.08481,0.000415604,0.463993,0.127359,-0.0301499,1.7985,0.00977841,5.16313e+19,0.000528241,3596.59
1.08543,0.000330735,0.43254,0.131972,0.0862231,1.9094,0.00932075,5.9793e+19,0.000611744,3607.73
1.08063,0.000110162,0.38433,0.162189,0.00748857,2.23359,0.0104025,5.54401e+19,0.000567209,3614.27
1.07759,0.000464084,0.542972,0.131783,-0.0885158,1.98029,0.00864893,6.27723e+19,0.000642224,3605.44
1.08342,0.000126847,0.368886,0.138784,-0.00875903,1.88008,0.0105338,3.90165e+19,0.000399178,3590.94
1.07745,1.17723e-05,0.432871,0.139578,0.0629538,2.05731,0.00895759,4.37086e+19,0.000447184,3588.73
1.07951,0.000307523,0.512566,0.12095,0.14067,1.85259,0.00837787,5.06757e+19,0.000518464,3598.81
1.07439,5.61217e-05,0.369639,0.122501,0.0186524,1.73582,0.00977923,7.15835e+19,0.000732372,3595.8
1.07714,7.20469e-05,0.503569,0.127882,0.00379524,2.01124,0.00784774,2.33262e+19,0.000238651,3559.68
1.08187,7.61543e-05,0.516652,0.122817,0.0388044,1.69694,0.0104721,3.36623e+19,0.000344399,3578.94
1.07784,0.000470991,0.516592,0.137377,-0.105674,2.00718,0.00911517,6.63601e+19,0.000678931,3603.31
1.08059,2.55377e-05,0.403785,0.123199,0.0254423,1.776,0.00941907,4.15901e+19,0.000425509,3577.74
1.07817,0.000111334,0.482339,0.139905,0.101562,1.8652,0.0108348,5.93995e+19,0.000607717,3607.28
1.07927,0.000235159,0.450406,0.164271,-0.078836,2.36745,0.00960802,6.34018e+19,0.000648665,3610.9
1.08123,0.000248543,0.434092,0.148008,-0.0870343,2.12848,0.00942172,4.71349e+19,0.000482238,3600.26
1.08632,0.000644364,0.421982,0.140865,0.0557033,1.97371,0.00989306,4.02029e+19,0.000411317,3592.81
1.07282,3.26917e-05,0.42887,0.144604,0.118049,1.89118,0.0112866,4.59788e+19,0.00047041,3598.31
1.08287,0.00023386,0.452714,0.118275,0.0780336,1.74069,0.00909099,4.89848e+19,0.000501165,3588.26
1.07601,-7.50119e-05,0.492998,0.143018,0.0375627,1.91443,0.0108202,5.62077e+19,0.000575062,3596.56
1.07779,0.000309689,0.407185,0.147266,0.141021,2.01614,0.0103566,4.58944e+19,0.000469547,3591.57
1.07896,0.000424605,0.48487,0.14381,0.0537015,1.93104,0.0107347,4.53083e+19,0.00046355,3595.99
1.07905,0.000239542,0.420914,0.128395,-0.0381928,1.96756,0.00833175,6.37068e+19,0.000651786,3602.35
1.07626,0.000164811,0.440914,0.142354,0.0441374,1.93948,0.0104773,6.20147e+19,0.000634473,3602.17
1.07519,0.000228856,0.415968,0.134316,0.0498355,2.03444,0.00850373,4.27668e+19,0.000437548,3600.08
1.08459,0.00033555,0.407572,0.169654,0.0388716,2.004,0.0138185,1.48179e+19,0.000151603,3551.26
1.07938,0.000302158,0.466385,0.16342,0.11305,2.29975,0.00998465,2.21057e+19,0.000226164,3576.43
1.08431,0.000112514,0.400111,0.153398,0.00248963,2.06462,0.0107141,2.23164e+19,0.000228319,3570.54
1.07282,-0.000153544,0.537193,0.153549,-0.0337017,2.05901,0.0108117,3.38611e+19,0.000346433,3585.1
1.07345,0.000280926,0.463866,0.152823,-0.0531964,2.00744,0.0111678,2.83976e+19,0.000290536,3581.47
1.08126,-4.14438e-05,0.397511,0.149547,-0.0766025,2.22934,0.00891061,5.88405e+19,0.000601998,3615.86
1.07327,0.000423563,0.510471,0.154328,0.246526,2.07057,0.0108012,2.96576e+19,0.000303427,3577.56
1.07579,0.000282177,0.502605,0.150799,0.0365926,2.09009,0.0102286,3.84867e+19,0.000393758,3599.71
1.07227,0.000141401,0.430005,0.139502,-0.00117615,2.11478,0.00851189,3.28722e+19,0.000336316,3581.72
1.07781,4.89597e-05,0.450316,0.124569,-0.0238045,1.86335,0.00870201,5.01625e+19,0.000513213,3600.23
1.08254,0.000304004,0.443866,0.149955,-0.127741,2.09803,0.00997473,4.81559e+19,0.000492684,3606.27
1.08126,9.29984e-05,0.439823,0.14969,-0.0222912,2.22061,0.00894712,4.73694e+19,0.000484637,3598.11
1.07327,0.000383255,0.452725,0.154123,0.0761125,2.07057,0.0107859,4.58633e+19,0.000469228,3599.15
1.07929,0.000107086,0.42404,0.113567,0.0393797,1.72107,0.00861137,4.22414e+19,0.000432173,3586.91
1.07927,0.000171277,0.452583,0.147848,-0.128457,1.99816,0.0106827,3.47183e+19,0.000355204,3586.74
1.07966,8.60547e-05,0.423904,0.129054,-0.105834,2.00373,0.00812498,4.21392e+19,0.000431127,3591.02
1.07905,0.000172198,0.459862,0.128939,0.0105694,1.97302,0.00834417,5.13782e+19,0.000525651,3597.52
1.07958,0.00019918,0.457053,0.138332,0.0258908,2.07058,0.00873732,4.84374e+19,0.000495564,3594.26
1.07278,0.000400167,0.46647,0.160527,0.138552,2.22921,0.0101898,4.80955e+19,0.000492066,3600.85
1.08051,5.68052e-05,0.497061,0.116461,-0.00454917,1.73923,0.00879908,4.5707e+19,0.000467629,3588.26
1.07815,-9.16594e-05,0.448274,0.126938,-0.0624361,1.92895,0.00840589,6.0209e+19,0.000616,3596.74
1.07794,8.93836e-05,0.489299,0.136019,-0.0384525,1.99325,0.009022,5.33705e+19,0.000546035,3608.64
1.08258,0.000175084,0.441489,0.142203,0.0331064,1.99821,0.00980911,3.38111e+19,0.000345922,3589.8
1.07831,0.000372164,0.470219,0.143516,0.013791,1.93073,0.0106412,4.91316e+19,0.000502666,3595.39
1.07814,0.000218193,0.481415,0.157543,0.0423546,2.01521,0.0119044,4.06126e+19,0.000415508,3605.15
