mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
-1.73115,0.000185541,0.445431,0.165199,-0.120891,1.68455,0.0190198,1.19989,0.000559756,3513.05
-1.73081,0.000349407,0.40041,0.165455,-0.171805,1.61855,0.0207357,0.835944,0.000389974,3511.25
-1.72645,0.000320977,0.461587,0.157173,-0.0979763,1.57583,0.020049,0.796072,0.000371373,3496.13
-1.72023,0.000178442,0.481181,0.165133,-0.128134,1.54809,0.0234433,0.954787,0.000445414,3510.39
-1.73037,0.000153915,0.458875,0.160332,-0.0672956,1.60567,0.019579,0.916081,0.000427358,3506.07
-1.73038,-2.69739e-05,0.455761,0.162192,-0.0547086,1.65489,0.0190552,1.52069,0.000709414,3524.88
-1.73095,7.72684e-05,0.470482,0.155737,-0.1323,1.58675,0.019457,1.26846,0.000591746,3523.51
-1.73748,0.000162538,0.405631,0.183087,-0.15088,1.76891,0.0207372,0.48933,0.000228276,3481.13
-1.7302,0.000203211,0.453604,0.181391,0.0402535,1.76558,0.0203334,0.684777,0.000319453,3496.99
-1.73579,0.000343308,0.452607,0.163748,0.181797,1.67098,0.0191402,1.19811,0.000558925,3515.81
-1.73012,0.00022013,0.502269,0.174501,0.0217393,1.77937,0.0187812,1.28111,0.000597646,3521.73
-1.73018,0.000415065,0.463338,0.155266,-0.0125064,1.55411,0.0202155,1.13354,0.000528802,3512.36
-1.72645,0.000214575,0.454294,0.174996,-0.239205,1.60646,0.0239447,1.39697,0.000651696,3532.35
-1.73107,6.96476e-05,0.492019,0.163019,-0.0660507,1.6482,0.0193896,0.974282,0.000454509,3509.63
-1.73595,0.000161083,0.389834,0.155385,-0.00311744,1.58908,0.0195072,1.31848,0.000615079,3521.49
-1.73112,0.000361977,0.433873,0.136192,0.0157856,1.43881,0.0197814,1.48431,0.000692439,3509.56
-1.73094,0.000113201,0.429467,0.158546,-0.0332785,1.60338,0.0198652,1.34229,0.000626188,3513.2
-1.72988,3.72497e-06,0.434054,0.166868,-0.00862493,1.64188,0.0205323,0.683503,0.000318859,3489.36
-1.73164,0.000169065,0.475254,0.15417,-0.132256,1.56386,0.019828,0.895543,0.000417777,3507.16
-1.72513,0.000420163,0.472397,0.167949,-0.0968716,1.55098,0.0237119,1.07819,0.000502983,3512.87
-1.72911,8.01168e-05,0.488227,0.156775,0.0259657,1.6139,0.0188406,1.55862,0.000727105,3510.31
-1.73015,7.08626e-06,0.446753,0.160639,-0.0750175,1.64911,0.0191364,1.49234,0.000696187,3526.83
-1.7313,0.000317641,0.425683,0.164673,0.110501,1.6582,0.0193559,1.66446,0.000776481,3536.32
