mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
-0.61921,0.000550377,0.587906,0.129854,0.123004,0.00821419,2.00897,0.00199486,0.000728209,3581.79
-0.633799,0.000133212,0.493258,0.155288,-0.109086,0.00787249,2.51077,0.00129836,0.000473958,3588.04
-0.63274,0.000813987,0.610733,0.150443,0.0281533,0.00764897,2.4554,0.000403172,0.000147175,3562.88
-0.625934,0.000332314,0.411215,0.133451,-0.0881691,0.00875865,1.99297,0.00125193,0.000457008,3595.01
-0.620019,0.000349642,0.526307,0.155915,-0.000928941,0.00981977,2.21913,0.000453069,0.00016539,3568.19
-0.632954,0.000349484,0.501146,0.13894,-0.134123,0.00821848,2.14965,0.00104714,0.000382252,3581.64
-0.636299,5.22788e-06,0.523355,0.170966,-0.0387837,0.00883663,2.62828,0.00127307,0.000464724,3579.23
-0.633341,0.000465998,0.481082,0.142522,-0.00972559,0.0083849,2.18751,0.00124429,0.00045422,3576.59
-0.624076,0.000801957,0.540338,0.144408,0.204066,0.00881041,2.16122,0.00134587,0.000491299,3580.55
-0.636318,0.000394892,0.465945,0.171026,0.00179359,0.00882295,2.62723,0.000614548,0.000224336,3575.6
-0.629886,0.000473759,0.484917,0.17431,0.219378,0.00886697,2.69058,0.00114729,0.000418811,3592.99
-0.626207,0.000446401,0.509898,0.145135,-0.0612762,0.00760604,2.36651,0.00189408,0.000691419,3604.93
-0.63236,0.000407306,0.535107,0.15,0.000439618,0.00778895,2.42648,0.00122756,0.000448111,3571.79
-0.632946,0.000395689,0.471235,0.146335,0.102426,0.00820919,2.2825,0.00140629,0.000513356,3607.49
-0.628511,0.000394307,0.509881,0.186555,0.203977,0.00888973,2.93726,0.000213523,7.7945e-05,3568.11
-0.63157,0.000274611,0.428327,0.133707,0.155914,0.00794715,2.10606,0.00367588,0.00134185,3587.26
-0.62035,0.000588747,0.49557,0.128753,0.0503481,0.00790548,2.0259,0.0040062,0.00146243,3603.93
-0.63365,0.000739893,0.464218,0.140811,-0.122893,0.00831194,2.16962,0.00137648,0.000502472,3584.15
-0.635111,0.000494761,0.451674,0.143894,0.216451,0.00815064,2.24578,0.00103425,0.000377547,3574.37
-0.632961,0.000436775,0.489036,0.18407,-0.0857985,0.0098306,2.6978,0.000909588,0.000332038,3573.66
-0.622308,0.000125642,0.458109,0.129761,-0.0219514,0.00823018,2.00046,0.00317504,0.00115903,3594.03
-0.633106,0.000101977,0.510896,0.148022,-0.0484203,0.00840065,2.27673,0.000261561,9.54807e-05,3555.37
-0.629408,0.000435702,0.465101,0.192289,0.178588,0.00977907,2.86612,0.000496032,0.000181073,3567.53
-0.622517,0.000744448,0.530572,0.138952,0.0073708,0.00962568,1.98101,0.00183349,0.000669302,3593.35
-0.633175,0.000409434,0.468417,0.15678,0.0138606,0.00854458,2.41322,0.00126629,0.000462248,3576.34
-0.620741,0.000490083,0.501305,0.139837,-0.0186505,0.00953496,2.00128,0.00543462,0.00198387,3587.23
-0.635721,0.000283267,0.519043,0.167555,0.0647236,0.00729925,2.8997,0.00289514,0.00105685,3593.6
-0.630174,0.000411869,0.48812,0.171312,0.0775655,0.00868234,2.6661,0.000386737,0.000141175,3558.35
-0.617546,0.000210357,0.417649,0.14347,0.0103998,0.00956905,2.04633,0.00138852,0.000506868,3587.76
-0.631856,0.00048684,0.50443,0.184936,0.0574805,0.00999044,2.68507,0.000159446,5.82046e-05,3571.98
-0.633405,0.000306455,0.502333,0.165577,0.0403907,0.00848164,2.59517,0.0014051,0.000512921,3587.64
-0.631703,0.000224135,0.519305,0.183866,-0.0990891,0.00891855,2.86539,0.00178133,0.000650261,3602.67
-0.636451,0.000759976,0.451848,0.123971,0.053426,0.00818593,1.91506,0.00291393,0.00106371,3577.84
-0.630818,0.00028539,0.502847,0.151771,-0.0743091,0.0070266,2.61832,0.0029836,0.00108914,3589.69
-0.61938,0.000437205,0.48262,0.138797,0.12275,0.00948184,1.99328,0.00564294,0.00205991,3611.95
-0.633485,0.000388841,0.472686,0.145781,0.120256,0.00800399,2.30223,0.00199824,0.000729442,3590.97
-0.633569,0.000368212,0.458867,0.143491,0.0224326,0.00833975,2.21208,0.00114204,0.000416892,3595.85
-0.632875,0.000365673,0.467596,0.154752,-0.12173,0.00810819,2.4539,0.00402727,0.00147012,3594.9
-0.619951,0.000823131,0.602747,0.131619,0.0619812,0.00820292,2.03194,0.0033845,0.00123548,3589.88
-0.63276,0.000424111,0.43411,0.150879,0.00188999,0.00838731,2.33651,0.00155781,0.000568665,3593.83
-0.614266,0.000447091,0.585702,0.147829,0.101291,0.0100415,2.05768,0.000556388,0.000203105,3566.82
-0.633746,0.000534755,0.480756,0.160225,-0.0754782,0.00810938,2.55886,0.000961826,0.000351107,3593.27
-0.633445,0.000709222,0.508459,0.162267,-0.0496674,0.00889998,2.45707,0.000784797,0.000286484,3584.78
-0.629675,0.000477273,0.458679,0.129011,0.0442108,0.00793512,2.03085,0.00172105,0.000628258,3579.25
-0.623277,0.000699884,0.497295,0.200625,-0.000387519,0.00906379,3.19046,0.000474316,0.000173146,3566.48
-0.633642,0.0004583,0.458281,0.145141,0.0762651,0.00813911,2.27887,0.00152419,0.000556395,3592.08
-0.636257,0.000520248,0.49932,0.132435,-0.0629178,0.00800686,2.07683,0.00321723,0.00117442,3601.63
-0.633061,0.000556097,0.514245,0.158288,0.0257516,0.00770541,2.59951,0.000622585,0.00022727,3568.79
-0.624885,0.0005856,0.483947,0.136802,-0.0482944,0.00968072,1.94324,0.00316141,0.00115405,3608.72
-0.625912,0.000280517,0.502892,0.172599,-0.00693618,0.00845294,2.73742,0.00035964,0.000131284,3569.11
-0.631897,0.000577699,0.474185,0.155153,-0.0856648,0.00791765,2.50017,0.00494068,0.00180356,3604.26
-0.631349,0.000620452,0.571734,0.150614,-0.0116944,0.00736441,2.52343,0.000498985,0.000182151,3569.26
-0.631991,0.000198579,0.440831,0.138126,0.0566062,0.00691156,2.35169,0.00175043,0.000638982,3588.45
-0.633638,0.000365773,0.460091,0.157195,-0.00269825,0.0079065,2.54392,0.00159214,0.000581199,3583.51
-0.633148,0.000588606,0.507961,0.142457,-0.0668095,0.00841665,2.18005,0.00255843,0.000933934,3588.42
-0.637497,0.000723212,0.545544,0.170547,0.0656118,0.00866002,2.64642,0.000192773,7.03702e-05,3554.04
-0.631967,0.000379503,0.523071,0.167221,0.0375982,0.00842839,2.64228,0.000970524,0.000354282,3590.18
-0.629255,7.3022e-05,0.478426,0.172646,0.0728929,0.00913438,2.61232,0.000468653,0.000171078,3576.8
-0.623842,0.000524838,0.529221,0.200926,0.0130881,0.00909231,3.18792,0.000340883,0.000124437,3592.77
-0.633956,0.000532328,0.426577,0.161246,0.104232,0.00733682,2.74733,0.00166246,0.000606867,3594.14
-0.634489,0.000234725,0.463727,0.146283,0.0399166,0.00759139,2.38874,0.000653953,0.000238721,3576.44
-0.632602,0.000743178,0.51841,0.140239,0.0311492,0.00882352,2.09113,0.00187327,0.000683823,3582.41
-0.636318,0.000569151,0.530643,0.171018,-0.0261573,0.00892887,2.59908,0.00127052,0.000463792,3607.8
-0.62351,0.000282849,0.515142,0.201208,0.0999264,0.00905055,3.20828,0.000886344,0.000323553,3585.95
-0.623566,0.000400714,0.51589,0.201455,-0.0921402,0.0090818,3.20308,0.000349042,0.000127415,3570.18
-0.632357,0.000229906,0.524806,0.179753,-0.0251784,0.00865667,2.84248,0.000245645,8.96709e-05,3554.77
-0.634627,0.000325307,0.53681,0.145979,-0.0419671,0.00909822,2.14804,0.00205695,0.000750874,3600.17
-0.623343,0.000481962,0.497788,0.201689,0.146509,0.00905771,3.22234,0.000796474,0.000290747,3592.75
-0.627696,0.00040262,0.509576,0.159512,0.0291516,0.00803422,2.55889,0.00263901,0.00096335,3587.34
-0.631039,0.000477475,0.566901,0.148624,0.177681,0.00772569,2.41141,0.00151748,0.000553946,3573.58
-0.630855,0.000573711,0.491142,0.14717,0.0359412,0.00788836,2.35468,0.00306157,0.0011176,3591.18
-0.621911,0.000275087,0.449816,0.190252,-0.0861421,0.00831466,3.15347,0.00138804,0.000506692,3586.04
-0.632981,6.87661e-05,0.528165,0.147647,-0.0672821,0.00820818,2.30664,0.00340859,0.00124428,3583.5
-0.623036,0.000431163,0.503341,0.19934,0.079584,0.00898248,3.18875,0.000643543,0.000234921,3567.83
-0.629904,0.000609517,0.466891,0.143093,0.0550318,0.00723342,2.39617,0.000407372,0.000148708,3570.68
-0.632985,0.000349717,0.509996,0.141528,-0.112577,0.00852277,2.15121,0.000620338,0.00022645,3576.31
-0.631728,0.00065671,0.584933,0.155165,-0.00224293,0.00791103,2.50249,0.00285739,0.00104307,3593.74
-0.62437,0.000197359,0.415773,0.199512,-0.097585,0.00908914,3.16521,0.000376595,0.000137473,3563
-0.623446,0.000769762,0.547852,0.200903,0.0322658,0.00902865,3.2097,0.000439906,0.000160584,3567.65
-0.636742,0.000316154,0.391245,0.12025,0.0371857,0.00841313,1.83756,0.00123126,0.000449462,3572.8
