mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
0.325196,0.000549979,0.458285,0.19068,-0.125889,0.0322981,1.51059,56.3131,0.000385468,3473.68
0.325435,0.000354908,0.516775,0.18914,0.148066,0.0321892,1.50191,124.862,0.00085469,3484.38
0.324683,0.000531286,0.485865,0.186225,0.000382002,0.0323562,1.48262,86.6568,0.000593173,3485.28
0.331189,0.000568796,0.49251,0.18851,0.147932,0.0336551,1.48262,75.9862,0.000520131,3462.25
0.323806,0.000914249,0.507548,0.190476,-0.0283381,0.0322106,1.49668,57.4825,0.000393472,3475.86
0.326036,0.00067947,0.454234,0.184437,0.00379492,0.0321126,1.47603,75.119,0.000514196,3462.36
0.325174,0.000498695,0.486362,0.190824,0.112394,0.0322496,1.51371,117.274,0.00080275,3483.26
0.324682,0.000612782,0.437597,0.192004,-0.124361,0.0317041,1.53673,32.405,0.000221815,3451.49
0.325174,0.000503919,0.494121,0.191089,-0.0063944,0.0322381,1.51583,118.229,0.000809285,3493.69
0.325339,0.000558595,0.566214,0.183687,0.0814956,0.0319383,1.48267,57.2072,0.000391588,3466.93
0.329435,0.000814805,0.544499,0.185958,-0.0485829,0.0335142,1.46469,38.521,0.000263679,3451.22
0.325115,0.000546139,0.521261,0.190942,-0.00438266,0.0324584,1.50329,96.6538,0.000661603,3481.48
0.3253,0.000863107,0.589571,0.186438,0.0680975,0.0323917,1.47874,105.185,0.00072,3486.67
0.325344,0.000515964,0.462232,0.186344,0.233877,0.0323385,1.48214,73.9536,0.000506219,3479.85
0.325751,0.000402934,0.52525,0.190553,0.0682785,0.0322434,1.51362,54.829,0.000375309,3462.3
0.325458,0.000612572,0.502394,0.185799,0.160363,0.0322541,1.48325,79.1678,0.00054191,3469.85
0.325322,0.000459015,0.531645,0.190725,0.122963,0.0324695,1.50216,100.413,0.000687334,3488.18
0.325549,0.000604402,0.470334,0.18612,-0.0540639,0.0320814,1.49354,65.0426,0.000445222,3462.93
0.331653,0.00051464,0.491029,0.186988,-0.0427662,0.0338623,1.45325,52.9513,0.000362456,3467.47
0.325479,0.000628545,0.52292,0.184197,0.163218,0.0330299,1.45141,49.8805,0.000341436,3470.33
0.325132,0.000435551,0.565551,0.190795,-0.0154846,0.0322491,1.51398,128.452,0.000879261,3479.18
0.324822,0.000312836,0.463867,0.187475,0.0276138,0.0326707,1.47797,66.7745,0.000457077,3468.67
0.326087,0.000533318,0.480886,0.190844,0.100014,0.0326542,1.49097,59.7962,0.00040931,3472.91
0.325174,0.00042069,0.575187,0.191485,0.0968582,0.0323524,1.51278,74.6605,0.000511057,3463.45
0.325242,0.000693155,0.523617,0.191116,0.111517,0.0322158,1.51587,78.6547,0.000538398,3479.99
