mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
1.01092,0.000327417,0.450943,0.179484,0.190615,1.65245,0.0232201,0.116881,0.000483815,3468.45
0.989184,5.35357e-05,0.526903,0.208588,0.154189,1.71705,0.0286505,0.0613406,0.000253912,3423.75
1.00926,0.000105737,0.544788,0.138231,-0.0109666,1.35929,0.0240921,0.127254,0.000526753,3442.69
1.00696,0.000412733,0.479411,0.171309,-0.0252303,1.54987,0.0248129,0.137028,0.000567208,3455.4
0.964137,0.000548107,0.550968,0.177221,0.0924151,1.54214,0.0268785,0.143522,0.000594089,3465.23
1.01701,0.000417425,0.472936,0.130134,0.0617122,1.30896,0.0243121,0.170681,0.000706511,3460.42
1.00402,0.000426411,0.481571,0.173602,-0.141922,1.55322,0.0251604,0.22214,0.000919521,3480.91
1.0165,0.000301216,0.503518,0.137021,-0.00109451,1.34428,0.0247437,0.104541,0.000432733,3451.62
0.978962,0.00033359,0.479733,0.177087,0.259296,1.48147,0.0292556,0.0886012,0.000366754,3447.86
1.01043,0.000320414,0.547446,0.149417,0.00747501,1.4293,0.0239634,0.120893,0.000500421,3443.47
0.916093,0.000520407,0.498908,0.183013,0.219405,1.42163,0.0345767,0.0844329,0.000349499,3439.38
0.981428,0.000445581,0.472187,0.202101,0.248887,1.59274,0.0315278,0.0860974,0.000356389,3440.91
0.982344,0.000245221,0.518637,0.209666,0.120733,1.66183,0.0302859,0.065898,0.000272776,3442.97
0.98168,0.000786738,0.514619,0.213203,0.13217,1.7038,0.0303765,0.0771306,0.000319272,3433.09
1.00655,0.000437289,0.543989,0.201586,-0.01194,1.75907,0.025316,0.0873473,0.000361563,3446.16
1.02087,0.000262969,0.542307,0.195126,-0.00903904,1.49333,0.0339151,0.0808858,0.000334816,3454.44
1.01465,0.000724926,0.492873,0.1357,-0.0395057,1.32052,0.0256544,0.137462,0.000569007,3453.32
1.01378,0.000103449,0.529772,0.157421,-0.0451145,1.47487,0.024011,0.109543,0.000453439,3443.94
1.00642,0.000282285,0.47339,0.176861,0.133899,1.5837,0.0247306,0.0872168,0.000361023,3433.7
1.01774,0.000457466,0.575801,0.187472,0.0626134,1.69299,0.023715,0.115737,0.000479079,3457.5
0.919286,0.00044193,0.501584,0.207526,-0.0385425,1.52691,0.0365133,0.0919545,0.000380634,3456.51
1.00351,0.00028179,0.470049,0.168339,-0.0506772,1.53122,0.0249343,0.170681,0.000706512,3479.05
1.01092,0.000260631,0.475758,0.194662,0.0889483,1.69066,0.0262124,0.10843,0.000448831,3445.83
1.01258,0.000211877,0.506799,0.158092,0.108482,1.51542,0.0227195,0.0693817,0.000287197,3435.45
0.981655,-0.000142147,0.566559,0.198745,0.168072,1.60179,0.0305086,0.0840607,0.000347959,3428.35
0.918269,0.000511386,0.512788,0.206025,0.211613,1.53879,0.0357949,0.0841966,0.000348521,3443.48
1.01673,0.000685959,0.496895,0.182876,-0.0223859,1.67826,0.0232772,0.159991,0.000662261,3470.68
1.01774,0.000191023,0.531614,0.183465,-0.0461584,1.66037,0.0237582,0.12284,0.000508482,3458.82
1.01399,0.00043169,0.551628,0.149341,-0.0358385,1.4033,0.0248563,0.158124,0.000654534,3464.48
0.983319,0.000616755,0.579025,0.161904,0.176694,1.39784,0.0294308,0.0700053,0.000289778,3448.23
1.01353,0.000283324,0.50541,0.171149,-0.0702658,1.5767,0.0237683,0.183849,0.000761019,3483.79
0.981688,0.000556204,0.521207,0.211451,0.0738911,1.64295,0.031361,0.155973,0.000645629,3474.06
1.01292,0.000539313,0.497573,0.121113,0.016255,1.25401,0.0245814,0.165173,0.000683712,3461.38
1.01134,0.000600634,0.55315,0.138283,-0.0165311,1.3348,0.0249217,0.113425,0.000469509,3456.18
0.991081,0.000349424,0.489661,0.208006,0.216904,1.70781,0.0288092,0.0485203,0.000200844,3421.4
1.00706,0.000674947,0.54031,0.190234,-0.0688897,1.65609,0.0258483,0.108826,0.000450472,3446.1
1.01152,0.000462905,0.47501,0.166679,-0.123349,1.53044,0.024393,0.0925862,0.000383249,3447.63
1.00706,4.59126e-05,0.491558,0.192216,0.105591,1.68656,0.0256128,0.0880492,0.000364469,3446.27
1.01601,0.000470622,0.550781,0.147012,0.0774676,1.38766,0.0253078,0.144373,0.000597613,3464.64
1.01527,0.000305257,0.49175,0.159214,0.121018,1.49213,0.0242124,0.105852,0.000438159,3447.37
0.982563,4.69512e-05,0.514754,0.169841,0.0944908,1.4636,0.028307,0.0944985,0.000391165,3439.63
1.01205,8.24745e-05,0.60483,0.139055,-0.0319314,1.35456,0.0250695,0.0960336,0.000397519,3440.57
1.01017,0.000446441,0.460399,0.188816,0.184948,1.51231,0.0314261,0.0530382,0.000219545,3423.63
0.987807,5.6406e-05,0.540626,0.197242,0.140039,1.63452,0.0286328,0.142694,0.000590662,3472.06
0.983393,0.000410222,0.559446,0.204394,0.134353,1.61343,0.0313279,0.0422889,0.00017505,3415.04
1.01758,0.000649805,0.506317,0.142265,-0.084954,1.38667,0.0238123,0.111275,0.000460608,3443.74
1.01447,0.000272774,0.501454,0.138125,0.0563895,1.3573,0.0238239,0.187846,0.000777564,3465.24
1.01466,0.000283727,0.551702,0.131483,0.0147847,1.32588,0.0239729,0.14545,0.00060207,3450.25
1.01745,0.000447281,0.49318,0.144731,-0.131274,1.43998,0.0220886,0.21384,0.000885164,3467.78
1.01708,0.000209264,0.4952,0.138612,0.0164509,1.33232,0.0256847,0.11519,0.000476815,3447.06
0.983002,0.000379415,0.460055,0.221365,0.194993,1.73359,0.0308945,0.0817719,0.000338484,3442.8
1.01333,0.000547872,0.446466,0.123994,0.0288986,1.30087,0.0231397,0.131099,0.000542668,3441.93
0.961734,0.000500277,0.431055,0.171154,0.0929193,1.4959,0.0264396,0.0700613,0.00029001,3426.23
1.01695,0.000381547,0.509325,0.161303,-0.0511475,1.49783,0.0243228,0.155575,0.000643984,3471.79
1.00963,0.000421618,0.46804,0.175319,0.0356587,1.59479,0.0240907,0.136687,0.0005658,3463.47
1.00889,0.000616641,0.462365,0.164015,0.0250126,1.50747,0.0247018,0.0860586,0.000356229,3444.8
1.01769,9.9414e-05,0.496216,0.137082,-0.15441,1.33467,0.0248536,0.128617,0.000532394,3456.11
0.982248,0.000646351,0.445933,0.177601,0.0490787,1.56664,0.0261505,0.0398923,0.000165129,3408.66
0.92105,0.0003597,0.494396,0.17716,0.00324453,1.422,0.0328962,0.104385,0.000432089,3454.02
1.01494,0.000264339,0.508439,0.149384,0.0354154,1.39588,0.0253703,0.140001,0.000579518,3457.31
0.984955,0.000291452,0.411145,0.164881,0.0434861,1.42243,0.0287369,0.133827,0.000553961,3455.4
