mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
-0.251462,0.00015434,0.426726,0.206591,-0.0388539,1.80547,0.0251491,0.637243,0.00193248,3533.91
-0.240804,1.5319e-05,0.416745,0.220129,-0.116596,1.90517,0.0248619,0.0375988,0.000114021,3498.04
-0.247859,0.000171861,0.379767,0.21947,-0.252779,1.9232,0.0244704,0.0278146,8.43495e-05,3508.89
-0.251223,0.000467141,0.484314,0.209671,0.0155593,1.84061,0.0245433,0.0505695,0.000153355,3517.21
-0.254226,0.000188472,0.431568,0.203279,0.141759,1.78692,0.0247393,0.139774,0.000423874,3510.79
-0.244478,0.000241236,0.475728,0.215262,0.159691,1.87115,0.0250685,0.00938924,2.84734e-05,3490.12
-0.249726,0.000337395,0.434055,0.185891,-0.0699143,1.71996,0.0223319,0.069034,0.00020935,3533.88
-0.242662,0.000175953,0.454785,0.201116,-0.0538927,1.77956,0.0242532,0.12832,0.000389137,3518.52
-0.247153,0.000508873,0.486448,0.201144,0.0931507,1.74114,0.0248755,0.0546199,0.000165638,3494.18
-0.230577,0.00036606,0.419687,0.148536,0.217575,1.40272,0.0242797,0.407662,0.00123626,3518.05
-0.231553,0.000139156,0.4675,0.186352,0.098143,1.6931,0.0237229,0.295068,0.000894811,3525.46
-0.244114,0.000247506,0.425153,0.207015,0.0776797,1.75109,0.026185,0.292484,0.000886973,3522.49
-0.250554,0.000569657,0.458357,0.203928,-0.267921,1.75022,0.0260715,0.0869095,0.000263558,3511.57
-0.244365,0.000134364,0.41282,0.216629,-0.0164673,1.90234,0.0244645,0.0454118,0.000137714,3514.56
-0.251343,0.000293211,0.477878,0.212673,-0.176617,1.87114,0.024615,0.0582035,0.000176505,3505.97
-0.223924,0.000181762,0.490969,0.183673,0.216593,1.67762,0.0235256,0.261825,0.000793999,3518.4
-0.251464,0.000226843,0.498175,0.208485,0.13892,1.82428,0.0251257,0.654882,0.00198597,3521.94
-0.252006,0.000146211,0.413157,0.204432,0.0242719,1.85024,0.0233455,0.328522,0.000996261,3533.01
-0.251266,0.000422762,0.431561,0.202819,0.0748888,1.71464,0.0262088,0.170889,0.00051823,3532.37
-0.250384,0.000350855,0.446796,0.207288,-0.0989172,1.78225,0.0256992,0.0522151,0.000158345,3514.37
-0.249927,0.000118637,0.446884,0.189661,-0.124414,1.69982,0.0239026,0.111615,0.000338479,3504.27
-0.254293,0.000294655,0.430176,0.198989,-0.197635,1.75098,0.0247631,0.149535,0.000453473,3516.97
-0.244589,0.000219017,0.526146,0.215657,0.0709519,1.91072,0.0242333,0.00537164,1.62898e-05,3487.3
-0.246525,0.000547783,0.487565,0.196127,0.13991,1.73015,0.0247901,0.0668016,0.00020258,3517.44
-0.250466,0.000362589,0.472373,0.206693,-0.0958838,1.82318,0.0249618,0.176064,0.000533926,3539.08
-0.250575,0.000494359,0.447203,0.209847,-0.120701,1.86468,0.0241689,0.107065,0.000324681,3523.96
-0.248014,0.000231222,0.499753,0.197252,0.0685964,1.75446,0.0240752,0.372761,0.00113042,3547.49
-0.2519,6.39085e-05,0.481855,0.208578,-0.13742,1.79529,0.0255395,0.132372,0.000401427,3527.85
-0.252499,0.000444472,0.507878,0.206178,0.117666,1.84176,0.0236543,0.00504808,1.53086e-05,3487.97
-0.250606,0.000348569,0.516247,0.207746,-0.159189,1.80488,0.0252065,0.288508,0.000874916,3525.87
