mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
-0.271162,0.000129512,0.400323,0.173987,-0.0357566,1.66338,0.0216002,70.9011,0.00043541,3565.25
-0.265881,0.000270835,0.392496,0.161118,0.107854,1.6331,0.0194137,99.7939,0.000612843,3580.25
-0.262768,0.000110577,0.378392,0.169348,-0.215072,1.60675,0.0221697,57.4274,0.000352667,3550.18
-0.27247,0.000392144,0.381601,0.169981,-0.231127,1.63762,0.0213896,124.879,0.000766895,3585.65
-0.267093,0.000146361,0.346443,0.164817,-0.0128608,1.64141,0.019988,217.788,0.00133746,3620.31
-0.27116,0.000119759,0.408876,0.174464,-0.169141,1.67521,0.0215029,71.8842,0.000441447,3560.69
-0.267607,0.000301952,0.405829,0.164381,-0.0706225,1.67843,0.0191386,119.507,0.000733902,3584.96
-0.269025,2.44413e-05,0.358648,0.152093,-0.111873,1.54778,0.0200743,72.2801,0.000443878,3555.74
-0.268903,7.84053e-05,0.388277,0.154189,-0.173861,1.57294,0.019735,70.2871,0.00043164,3560.11
-0.271382,-4.64721e-05,0.336652,0.145419,-0.032687,1.47515,0.0207257,60.9423,0.000374252,3542.38
-0.262754,0.000133594,0.391291,0.169335,-0.165007,1.62636,0.0218911,59.3829,0.000364676,3557.55
-0.270134,0.000148935,0.417906,0.163021,-0.22019,1.70316,0.0181249,50.1205,0.000307795,3556.55
-0.270133,0.000108023,0.41934,0.178816,-0.19529,1.70378,0.0213042,141.597,0.000869563,3570.67
-0.264237,0.000151594,0.373016,0.166801,-0.165164,1.59717,0.0220071,41.6345,0.000255682,3559.46
-0.271624,0.0002347,0.397054,0.147335,-0.0127662,1.50067,0.0204048,100.533,0.000617384,3552.66
-0.266657,0.000314402,0.353165,0.169358,0.110614,1.66077,0.0207134,84.252,0.000517399,3575.4
-0.257402,0.000434332,0.409257,0.172293,0.00692021,1.62943,0.0221601,58.8164,0.000361197,3554.08
-0.267233,0.000235444,0.407831,0.165818,-0.222887,1.6851,0.0191611,87.2764,0.000535973,3565.45
-0.265653,0.00013842,0.436362,0.170541,-0.133978,1.62264,0.0218948,72.585,0.000445751,3566.19
-0.271177,9.11194e-05,0.481203,0.174148,-0.0983204,1.6662,0.0215805,117.929,0.000724214,3577.8
-0.271676,0.000437577,0.48464,0.17235,-0.067622,1.68409,0.0208225,91.6777,0.000563001,3555.45
-0.269025,0.000304323,0.443681,0.152353,-0.156648,1.55102,0.0200579,88.3564,0.000542605,3562.86
-0.267594,0.000420423,0.404819,0.170089,0.0119599,1.62198,0.0219895,57.7501,0.000354649,3556.26
-0.258518,0.000154224,0.381457,0.152486,-0.125622,1.49815,0.0219153,61.6369,0.000378518,3561.66
-0.254339,0.00021327,0.496428,0.211339,0.0808367,1.87095,0.0245187,52.843,0.000324514,3550.82
-0.267509,0.000196802,0.398967,0.150016,-0.152855,1.52229,0.0204819,111.199,0.000682883,3572.32
-0.259607,0.000236203,0.416969,0.176917,-0.111814,1.71004,0.0211118,50.833,0.00031217,3558.36
-0.262818,-3.61261e-05,0.466887,0.169511,0.00519734,1.61638,0.0219358,46.2742,0.000284174,3545.01
-0.267328,-0.000202926,0.366296,0.164731,0.0512966,1.63267,0.0201054,131.937,0.000810237,3577.92
-0.271117,0.000158302,0.431762,0.173069,-0.230626,1.66047,0.0214584,82.5833,0.000507151,3568.08
-0.26918,0.000181174,0.439225,0.164322,-0.290888,1.60334,0.0209783,60.0433,0.000368731,3547.35
-0.271208,0.000117132,0.420018,0.173009,-0.0641893,1.65527,0.0215677,101.609,0.000623987,3572.66
-0.266221,0.000187979,0.401498,0.168469,-0.025115,1.61555,0.0216968,88.5825,0.000543993,3569.14
-0.269025,-5.21297e-05,0.378091,0.15234,-0.00371974,1.54897,0.0200892,63.8383,0.000392037,3545.09
-0.270368,-2.97678e-05,0.443993,0.166166,-0.133625,1.63424,0.0208035,80.7291,0.000495765,3562.77
-0.268962,-4.07608e-05,0.420107,0.152154,-0.168857,1.54799,0.0200798,115.497,0.000709277,3573.99
-0.268872,0.000180689,0.467093,0.154218,-0.0146425,1.55588,0.0202133,90.589,0.000556315,3567.44
-0.267816,0.000174969,0.398783,0.170766,0.00555316,1.6219,0.0220711,49.4228,0.00030351,3536.93
-0.270606,0.000273705,0.329988,0.174501,-0.186859,1.66585,0.0216223,77.5497,0.00047624,3559.7
-0.268992,0.000326598,0.398329,0.151943,-0.201207,1.54793,0.0200594,135.148,0.000829957,3583.18
-0.271091,2.30316e-06,0.395449,0.172036,-0.0160875,1.65188,0.0214492,64.3211,0.000395002,3557.56
-0.262704,0.000226279,0.40015,0.169614,0.0611696,1.62586,0.0219268,68.7245,0.000422043,3551.89
-0.262339,0.000322821,0.43562,0.169914,-0.144097,1.62136,0.0219483,61.3438,0.000376718,3559.08
-0.269025,7.08544e-05,0.422714,0.152152,-0.166478,1.54909,0.0200801,47.6096,0.000292375,3554.37
-0.271332,7.70533e-05,0.391284,0.167227,-0.0186093,1.63509,0.0209706,64.3092,0.000394929,3558.32
-0.271166,0.000233276,0.375335,0.173292,-0.160909,1.66747,0.0214956,84.7822,0.000520655,3573.63
-0.27116,0.000278563,0.428302,0.174004,-0.183647,1.67461,0.0214627,84.672,0.000519979,3568.41
-0.268802,-0.000119823,0.409828,0.155586,0.0127248,1.5625,0.0203779,49.5056,0.000304019,3551.26
-0.269025,5.22312e-06,0.421772,0.152406,-0.0541235,1.54772,0.0201059,56.4943,0.000346937,3562.55
-0.267455,0.000161863,0.358004,0.156841,-0.0955006,1.5191,0.0219921,85.8487,0.000527205,3580.51
-0.27116,3.49003e-05,0.423752,0.174004,-0.141941,1.67461,0.0214627,74.2163,0.000455769,3580.49
-0.269018,0.000300739,0.398809,0.152234,-0.0916916,1.54818,0.0200867,45.3385,0.000278428,3553.2
-0.262704,0.000276157,0.410889,0.169078,-0.123171,1.62559,0.0218724,89.3202,0.000548524,3568.32
-0.262716,3.07202e-05,0.431645,0.171559,-0.24163,1.63643,0.0217705,57.9592,0.000355933,3544.63
-0.267575,0.000125034,0.396053,0.151247,-0.176254,1.56511,0.0189623,144.103,0.000884947,3580.3
-0.268369,9.01222e-05,0.406674,0.150574,0.0186745,1.54626,0.0196468,55.2846,0.000339508,3543.51
-0.270198,0.000306981,0.422746,0.1634,-0.0308062,1.70614,0.0181295,53.7854,0.000330301,3553.96
-0.271147,0.000261864,0.418552,0.173834,-0.0303035,1.65625,0.0216766,84.0007,0.000515856,3565.6
-0.267403,0.000317612,0.396253,0.148777,-0.134434,1.47879,0.0215799,63.964,0.000392809,3548.73
-0.268084,0.000407948,0.408298,0.158761,0.243002,1.60642,0.0196404,119.126,0.000731566,3581.27
-0.270351,0.000302005,0.446505,0.16149,-0.098511,1.59015,0.0207877,75.4478,0.000463332,3549.78
-0.27061,0.000365902,0.408289,0.134844,-0.0508652,1.40693,0.0203711,89.8661,0.000551876,3568.52
-0.270529,0.000204059,0.350985,0.14969,-0.043413,1.56353,0.0187823,100.726,0.00061857,3565.5
-0.269025,0.000249435,0.400439,0.15226,-0.24022,1.54772,0.0200915,109.884,0.00067481,3569.03
-0.266728,0.000350704,0.467764,0.170267,0.107271,1.65874,0.0209926,88.6621,0.000544482,3559.06
-0.262721,0.000213995,0.388513,0.173291,-0.166459,1.65838,0.0214638,107.989,0.000663168,3590.03
-0.271066,0.000294203,0.368103,0.174425,-0.0935851,1.67274,0.0214812,55.2917,0.000339552,3559.78
-0.26783,2.32813e-05,0.444683,0.158364,-0.180307,1.61191,0.0193098,92.3415,0.000567078,3573.18
-0.270216,0.000161148,0.352105,0.163488,-0.143133,1.70532,0.0181529,152.108,0.000934111,3589.88
-0.268974,0.000221547,0.380629,0.152215,-0.00101563,1.54601,0.0201093,116.688,0.000716591,3565.35
-0.271279,0.000306086,0.399649,0.173502,-0.0307696,1.66421,0.0215389,128.491,0.000789078,3577.78
-0.266836,0.000229847,0.395444,0.162958,-0.266801,1.63943,0.0197541,65.0499,0.000399478,3556.55
-0.269025,0.000278331,0.448926,0.152167,0.0103523,1.54772,0.0200824,69.8624,0.000429032,3557.52
-0.270628,0.00026096,0.418832,0.174479,-0.0662082,1.66685,0.0214842,63.4356,0.000389564,3560.44
-0.26683,8.75266e-05,0.373996,0.162371,-0.223236,1.63467,0.0198389,57.0362,0.000350265,3547.9
-0.267917,0.000243662,0.430368,0.141968,-0.0469241,1.49983,0.0190184,93.2581,0.000572706,3545.88
-0.268838,0.000197543,0.410851,0.163074,-0.284747,1.56788,0.0219615,31.0529,0.000190699,3533.29
-0.269042,0.000270894,0.404366,0.152236,-0.170667,1.54775,0.020091,60.6301,0.000372335,3551.77
-0.271043,0.000382126,0.38352,0.175356,-0.255864,1.67552,0.0214871,64.7859,0.000397856,3563.58
-0.269025,0.000102915,0.385141,0.152313,-0.0450198,1.54846,0.0200932,45.1132,0.000277044,3546.36
-0.258053,0.000313969,0.387576,0.15728,0.0669599,1.54598,0.0212631,39.9395,0.000245272,3556.83
-0.269025,0.000214161,0.342378,0.152184,-0.0725784,1.54812,0.0200821,82.543,0.000506904,3563.75
-0.270198,0.00026998,0.423967,0.163462,-0.0640469,1.70692,0.0181271,91.7249,0.000563291,3575.18
-0.268699,0.000228136,0.426072,0.176017,-0.299134,1.69401,0.0212864,73.6204,0.00045211,3563.17
-0.268642,0.000265065,0.368354,0.16683,-0.169047,1.59113,0.0217928,97.9918,0.000601776,3580.28
-0.269333,0.00026048,0.384491,0.15076,0.00982362,1.55481,0.0194572,98.418,0.000604394,3569.83
-0.267599,-4.56104e-05,0.459966,0.15664,0.0384893,1.59524,0.0195121,87.446,0.000537014,3558.11
-0.27062,0.000264674,0.341186,0.171546,0.0200312,1.67702,0.0204412,96.4539,0.000592332,3571.72
-0.268027,0.000239556,0.329357,0.156799,-0.0750211,1.6088,0.0192389,88.5183,0.000543599,3558.75
-0.27091,0.000335743,0.380492,0.173606,-0.0815219,1.65985,0.0216265,67.6185,0.000415251,3560.23
-0.25665,-0.000181958,0.463414,0.167203,0.0484953,1.65777,0.0203322,54.612,0.000335378,3546.8
-0.268962,0.000415082,0.413588,0.151514,-0.0957722,1.54536,0.0200489,175.291,0.00107648,3589.06
-0.26762,0.000116559,0.425553,0.153967,-0.241447,1.54591,0.0204115,74.5235,0.000457655,3551.83
-0.268878,0.000261543,0.359227,0.152194,-0.0682829,1.54573,0.0201022,78.1277,0.000479789,3562.02
-0.258003,0.000271184,0.465396,0.151339,0.003526,1.50766,0.0211804,88.7061,0.000544753,3556.07
-0.271066,0.000371744,0.40324,0.174158,-0.0116004,1.66206,0.0216321,90.252,0.000554246,3558.48
-0.271162,2.92968e-05,0.438151,0.174041,-0.0447237,1.66451,0.0215913,49.6526,0.000304921,3557.75
-0.268974,0.000151786,0.377244,0.152215,-0.0642014,1.54601,0.0201093,140.69,0.000863992,3570.75
-0.268964,0.000129259,0.41237,0.151161,-0.00531427,1.54338,0.0197003,89.9725,0.000552529,3565.68
-0.271066,0.000305881,0.42868,0.174137,0.0268069,1.66936,0.0215378,146.419,0.000899175,3598.63
-0.262787,3.14648e-05,0.358882,0.16872,-0.227964,1.61262,0.0219416,61.3483,0.000376745,3540.34
-0.271246,0.000163732,0.415239,0.174143,-0.167718,1.66936,0.0215385,82.2643,0.000505193,3566.12
-0.268984,0.000191363,0.441438,0.151985,0.0416486,1.54772,0.0200646,49.7828,0.000305721,3549.9
-0.267301,0.000135676,0.389066,0.177448,-0.25932,1.77848,0.0194995,118.669,0.000728758,3587.2
