mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
0.0258018,0.000546564,0.482398,0.183089,0.0671853,0.0193851,1.8197,2.89208,0.000720208,3449.03
0.0574801,0.000509129,0.499094,0.190588,-0.0247635,0.0220379,1.78337,2.14539,0.000534262,3431.19
0.0561258,0.000493803,0.469708,0.128924,-0.0883443,0.0230264,1.3204,3.75477,0.000935042,3428.04
0.0209593,0.000209598,0.482563,0.199723,-0.00769944,0.0206668,1.92419,1.38468,0.000344824,3426.61
0.0206867,0.000253121,0.50442,0.192782,-0.0612745,0.020517,1.85745,2.88479,0.000718393,3428.82
0.0194146,0.000502761,0.44385,0.182562,-0.104457,0.019764,1.8103,1.80793,0.000450224,3431.04
0.018077,0.000316746,0.510123,0.196186,-0.0972953,0.0210386,1.87372,1.74079,0.000433505,3435.47
0.0211776,0.000464811,0.503261,0.197181,-0.0830299,0.0207175,1.89513,5.16333,0.00128581,3451.91
0.0909989,0.000225291,0.497334,0.170764,-0.0582472,0.0291818,1.44341,1.97202,0.000491087,3435.72
0.0163784,0.000408856,0.471905,0.174934,-0.11143,0.0174397,1.84479,1.46403,0.000364583,3425.74
0.0552857,0.000449712,0.500423,0.184566,-0.0927108,0.0219058,1.73086,3.05305,0.000760293,3436.74
0.0266721,0.00053681,0.455443,0.181575,0.0419844,0.0197101,1.80122,3.49909,0.00087137,3425.09
0.0566076,0.000803459,0.5415,0.164902,-0.109087,0.0227571,1.54697,1.78055,0.000443405,3422.3
0.0209593,0.000476943,0.481631,0.198127,-0.0279239,0.020898,1.90318,2.76811,0.000689335,3428.92
0.0202539,0.000575553,0.44471,0.19842,-0.166578,0.020544,1.91907,2.98054,0.000742237,3435.85
0.0220748,0.000375507,0.535162,0.199622,0.036927,0.020787,1.91451,1.23483,0.000307505,3430.94
0.0564923,0.00045587,0.430593,0.190093,-0.0258188,0.0217608,1.78538,3.1886,0.00079405,3437.84
0.0900506,0.000278951,0.517305,0.160986,0.0094063,0.0300012,1.37167,1.67993,0.000418348,3422
0.055808,0.000546011,0.441248,0.190538,-0.0462758,0.0217876,1.79281,3.34494,0.000832983,3436.49
0.0950371,0.000418548,0.549665,0.174549,-0.0481179,0.0297317,1.46686,2.95796,0.000736614,3420.18
0.0521679,0.000409058,0.475747,0.163328,-0.170273,0.0251623,1.48265,0.778859,0.000193957,3417
0.0911429,0.000347279,0.509661,0.174629,-0.141648,0.0303255,1.43913,1.11445,0.00027753,3411.57
0.0221137,0.000420577,0.486728,0.200903,-0.1121,0.0209732,1.90537,2.09001,0.00052047,3432.55
0.0209593,0.000445826,0.504996,0.186772,-0.0277157,0.0209365,1.78711,3.07885,0.000766718,3440.89
0.0955075,0.000145689,0.485865,0.183481,0.0135586,0.0302316,1.50261,1.55742,0.000387841,3424.03
0.0900793,0.000274067,0.479504,0.161245,0.176067,0.0284677,1.40764,1.95692,0.000487326,3439.78
0.0976299,0.00018648,0.498384,0.165578,-0.00690008,0.0301649,1.40024,1.86115,0.000463478,3424.49
0.0209593,0.000340856,0.504725,0.200874,-0.196512,0.0206801,1.9244,1.34327,0.000334511,3429.75
0.0892019,0.00029501,0.490782,0.155981,0.10204,0.0295345,1.35899,1.08301,0.000269699,3417.07
0.0892771,0.000651669,0.44507,0.181132,0.0402545,0.0300927,1.49948,2.05621,0.000512053,3422.3
0.0570186,0.000584728,0.508296,0.166494,-0.13012,0.0267109,1.47511,1.58595,0.000394944,3435.54
0.090071,0.000559449,0.479377,0.181867,-0.0171577,0.0289956,1.5202,1.33606,0.000332715,3413.12
0.0270166,0.000169331,0.460626,0.169183,-0.0824102,0.0209572,1.63544,2.67868,0.000667064,3440.56
0.0529341,0.000465837,0.482622,0.178144,-0.157129,0.0232511,1.63672,1.8918,0.00047111,3427.55
0.0911072,0.000468238,0.491681,0.156505,-0.0384611,0.0290297,1.37641,1.82398,0.000454222,3428.51
0.0209677,0.000219998,0.493002,0.199876,0.0183635,0.0208615,1.90956,1.35642,0.000337786,3422.09
0.0925268,0.000428844,0.449811,0.168197,-0.0167021,0.0294302,1.42416,0.552509,0.00013759,3404.11
0.0212929,0.000245022,0.404605,0.1913,0.0953382,0.0200366,1.87379,4.47502,0.0011144,3452.84
0.0902157,0.000220254,0.494226,0.168684,0.0275657,0.0300363,1.40398,3.99795,0.0009956,3445.07
0.0250584,0.000602783,0.546139,0.179958,0.158749,0.0213952,1.70861,2.28393,0.000568762,3431.99
0.0209593,0.000498659,0.530536,0.187506,-0.0963704,0.0208349,1.80381,0.529437,0.000131844,3417.84
0.056056,0.000507399,0.489058,0.187954,-0.053788,0.0235321,1.70462,0.728756,0.00018148,3440.4
0.0194146,0.000306098,0.399193,0.200737,-0.253475,0.020925,1.91524,3.18251,0.000792532,3425.51
0.0209593,0.000225353,0.406916,0.197659,-0.066309,0.0205786,1.91431,0.553292,0.000137785,3393.64
0.0237262,0.000550002,0.560104,0.169124,0.0598631,0.0181422,1.74743,4.59812,0.00114506,3445.53
0.0860672,0.000314045,0.456236,0.15005,-0.10323,0.0283923,1.35577,1.236,0.000307797,3420.88
0.0927604,0.000305215,0.467049,0.18553,0.113034,0.0303422,1.51682,0.245814,6.12144e-05,3404.15
0.0893951,0.000530576,0.470473,0.175832,0.00440045,0.0291272,1.47971,3.30109,0.000822062,3436.67
0.0206342,0.000463787,0.483941,0.199341,0.00221886,0.0209517,1.90331,1.2158,0.000302768,3433.88
0.089543,0.000179638,0.474422,0.169711,0.00289414,0.0302872,1.42158,1.77252,0.000441407,3410.22
0.029541,0.000507309,0.531599,0.191392,0.126211,0.0262981,1.64794,0.923484,0.000229973,3411.89
0.0282818,0.000534073,0.55869,0.172121,0.0692607,0.0193222,1.72889,1.90643,0.000474754,3431.09
0.0450498,0.000293029,0.464233,0.191121,0.0599342,0.0267073,1.64006,1.09834,0.000273518,3401.9
0.0211177,0.000243369,0.555556,0.198964,-0.0157905,0.0246548,1.7453,1.2788,0.000318457,3428.33
0.0934207,0.000434294,0.498969,0.18053,0.107673,0.029759,1.50193,2.06378,0.000513937,3427.14
0.0922853,0.00037361,0.550266,0.170736,0.0857258,0.0291281,1.45474,2.4388,0.000607329,3444.36
0.020988,0.000422782,0.43449,0.204293,-0.00840494,0.0213522,1.93282,1.67688,0.000417589,3435.47
0.0878631,0.000626328,0.464435,0.166046,0.0731708,0.029066,1.42864,2.15708,0.000537172,3432.71
0.0903224,0.000174982,0.449581,0.167251,0.14949,0.0297916,1.40832,1.57249,0.000391594,3425.72
0.0548973,0.000312845,0.405731,0.184353,-0.112677,0.0219932,1.72689,1.78533,0.000444596,3420.4
0.0209593,0.000442376,0.460389,0.197438,-0.1482,0.0207613,1.89341,1.2231,0.000304586,3439.87
0.0211177,0.000580711,0.518069,0.198997,-0.0726676,0.0245408,1.75367,0.912904,0.000227338,3429.19
0.0922853,0.000251629,0.499132,0.17706,-0.0330539,0.0299951,1.46874,2.0366,0.00050717,3431.24
0.0558299,0.000443851,0.490589,0.177185,-0.148383,0.0266085,1.54732,1.84559,0.000459602,3422.06
0.0900119,0.000224349,0.592649,0.16119,-0.0224143,0.0288994,1.40868,0.570493,0.000142068,3420.14
0.0908468,0.000330459,0.543683,0.161418,0.0303513,0.0292632,1.37908,1.61284,0.000401641,3433.34
0.0209593,0.000184739,0.434519,0.199348,0.0599551,0.0209119,1.91071,3.61035,0.000899077,3451.66
0.0209593,0.000204832,0.478514,0.191282,-0.185202,0.0205284,1.84413,1.95575,0.000487035,3432.59
0.0550145,0.000702813,0.510449,0.190361,-0.0818582,0.0234874,1.72455,2.69127,0.000670199,3432.73
0.0975748,0.000579728,0.471248,0.157508,0.0797277,0.0290361,1.3801,1.68278,0.000419059,3432.18
0.0208883,0.000441485,0.474704,0.199257,-0.0575959,0.0245407,1.75683,0.274472,6.83511e-05,3415.55
0.0207687,0.000513976,0.494438,0.196503,0.0480947,0.021719,1.83153,0.974867,0.000242769,3423.31
0.0519547,0.00042865,0.558508,0.183176,0.0119391,0.0225754,1.69246,1.38248,0.000344275,3423.67
0.021788,0.000399442,0.465895,0.197249,-0.159387,0.02203,1.83632,1.95316,0.000486391,3437.36
0.026074,0.000389552,0.497918,0.169222,-0.119469,0.0218812,1.61236,1.599,0.000398196,3431.86
0.0215167,0.000538163,0.530313,0.198179,-0.115801,0.0212447,1.8773,3.21148,0.000799746,3431.51
0.0198957,0.00032775,0.478234,0.190017,-0.0796545,0.0210699,1.80911,1.41409,0.000352148,3430.05
