mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
-1.11682,0.000107636,0.401539,0.149382,-0.103145,0.0205455,1.51076,0.00399162,0.000317941,3543.24
-1.11679,0.000137057,0.416943,0.154569,0.112504,0.020073,1.56113,0.00371215,0.00029568,3535.88
-1.11654,5.01968e-05,0.354123,0.152393,0.049147,0.020078,1.53821,0.013287,0.00105834,3550.51
-1.11654,-6.49871e-05,0.37994,0.149834,-0.122257,0.0212568,1.48697,0.0144768,0.0011531,3551.8
-1.1167,3.49722e-05,0.334417,0.151827,-0.084062,0.020707,1.51923,0.00438549,0.000349313,3555.25
-1.11712,0.0003476,0.381745,0.154293,0.0570153,0.0200675,1.56182,0.00777601,0.000619375,3555.41
-1.11729,-0.000227712,0.392391,0.155121,0.045534,0.0198896,1.57602,0.00726514,0.000578683,3537.68
-1.11422,7.6391e-05,0.36459,0.15067,-0.0834749,0.0193999,1.5563,0.00321552,0.000256123,3533.71
-1.11745,0.000113431,0.348072,0.144619,-0.0680595,0.0204905,1.47127,0.00378082,0.00030115,3532.37
-1.11667,0.000124082,0.338126,0.154871,0.0722342,0.0201149,1.56592,0.00503248,0.000400847,3545.3
-1.11654,9.19421e-06,0.421885,0.155891,-0.0580596,0.0202296,1.56036,0.00338639,0.000269733,3533.53
-1.11619,0.000403447,0.407057,0.128706,-0.157952,0.0174535,1.43523,0.00282263,0.000224828,3531.74
-1.11732,0.000205473,0.404677,0.149847,-0.127772,0.0210617,1.49721,0.00701939,0.000559109,3547.71
-1.1189,0.000148838,0.376727,0.164728,-0.21147,0.0194118,1.67112,0.0104304,0.000830801,3554.23
-1.11654,9.28454e-05,0.384544,0.148944,-0.00926172,0.0211844,1.48641,0.0046054,0.000366829,3537.53
-1.11612,-2.55347e-05,0.335859,0.177376,-0.150184,0.0209797,1.7205,0.000956832,7.62137e-05,3522.78
-1.11709,2.40894e-05,0.319672,0.1494,0.025372,0.021099,1.4948,0.0220279,0.00175456,3555.8
-1.11857,6.72167e-05,0.39861,0.158227,0.0437953,0.0182078,1.65641,0.0118269,0.000942038,3546.38
-1.11717,0.000199454,0.388756,0.161054,-0.0559066,0.0193182,1.63891,0.00278951,0.00022219,3535.06
-1.11738,8.06687e-05,0.406737,0.145567,0.0936168,0.0205542,1.48683,0.00292971,0.000233357,3522.47
-1.11697,0.000238146,0.366161,0.149843,0.0523532,0.0217753,1.48048,0.00432121,0.000344193,3535.61
-1.12349,0.000183485,0.389556,0.153568,-0.0404581,0.0177566,1.62094,0.00127926,0.000101896,3514.8
-1.11668,-0.000139248,0.43407,0.155862,0.145708,0.0202641,1.56259,0.00324828,0.000258732,3530.4
-1.11689,2.37593e-05,0.351812,0.156286,-0.0540396,0.0199184,1.58041,0.00383757,0.00030567,3553.62
-1.11698,-0.000209678,0.418678,0.159023,-0.102539,0.019391,1.62259,0.00452174,0.000360166,3538.34
-1.11654,2.37011e-05,0.400587,0.160325,-0.107571,0.0193699,1.62396,0.00370648,0.000295229,3541.64
-1.11729,-2.97962e-05,0.412548,0.156283,0.0731337,0.0199267,1.58092,0.00189373,0.00015084,3540.17
-1.11896,0.000284615,0.376054,0.145511,0.0145101,0.0200278,1.48606,0.00383458,0.000305432,3532.94
-1.11866,0.000222494,0.436888,0.149272,-0.01031,0.021126,1.49765,0.00191513,0.000152544,3517.35
-1.11718,4.32255e-05,0.413338,0.151649,0.088861,0.0199964,1.54807,0.00452171,0.000360164,3537.18
-1.11747,-2.21811e-05,0.362316,0.149428,0.0326329,0.0213452,1.47975,0.0128342,0.00102227,3550.91
-1.11626,0.000131636,0.337554,0.152243,-0.119366,0.0195439,1.55766,0.000991219,7.89527e-05,3524.6
-1.11682,6.56016e-05,0.381873,0.152048,-0.132451,0.0207847,1.51602,0.00126095,0.000100437,3526.11
-1.11654,3.8253e-05,0.401926,0.15968,0.0687939,0.0195814,1.61079,0.00866441,0.000690138,3553.83
-1.11817,0.000200822,0.343284,0.15803,0.0109801,0.019571,1.59984,0.00135051,0.000107571,3526.51
-1.11799,0.00014022,0.38089,0.155609,0.0797535,0.020117,1.56776,0.0157463,0.00125423,3549.64
-1.11654,1.51792e-05,0.333691,0.14987,0.00258958,0.021008,1.49826,0.00345314,0.00027505,3523.65
-1.11717,1.73683e-05,0.387173,0.155477,0.0619938,0.0198576,1.57924,0.00347588,0.000276861,3554.79
-1.11717,-3.86307e-05,0.405895,0.148053,0.00136347,0.0211283,1.48352,0.00629897,0.000501726,3543.14
-1.11804,-8.56225e-05,0.466728,0.15093,-0.0803667,0.0208308,1.51395,0.0065222,0.000519506,3543.3
-1.11749,6.67949e-05,0.368165,0.14578,-0.121977,0.0207866,1.48461,0.0131124,0.00104443,3543.54
-1.1173,-0.000160415,0.349083,0.13885,-0.0453194,0.0209466,1.4267,0.00238948,0.000190327,3526.82
-1.11732,8.71337e-05,0.414155,0.154499,0.146915,0.0200389,1.56408,0.00416102,0.000331434,3549.81
-1.1172,8.03104e-06,0.394285,0.148094,-0.135402,0.0210912,1.48859,0.0185625,0.00147854,3548.76
-1.11654,-0.000208227,0.299739,0.155317,0.00380221,0.0199928,1.57361,0.00562596,0.000448119,3541.72
-1.11682,5.14375e-05,0.344813,0.151499,-0.250522,0.0205555,1.52938,0.00237866,0.000189465,3528.26
-1.124,5.52513e-06,0.37822,0.145114,-0.0197538,0.0201687,1.48833,0.00181142,0.000144284,3523.97
-1.11664,2.86812e-06,0.339785,0.147573,-0.0322572,0.0214431,1.46528,0.00184771,0.000147174,3508.47
-1.11654,-8.60852e-05,0.351065,0.148897,0.10418,0.021161,1.48401,0.00241393,0.000192274,3527.86
-1.11678,8.74476e-08,0.375525,0.15139,-0.0767454,0.0207058,1.51771,0.00423775,0.000337546,3532.45
-1.11717,0.000181522,0.414907,0.149021,-0.0586,0.0211128,1.49142,0.00976349,0.000777682,3550.52
-1.11686,0.000321584,0.393246,0.159808,0.0711609,0.0193956,1.62538,0.0016529,0.000131657,3523.95
-1.11654,-0.000167508,0.386414,0.148677,-0.0933151,0.0209836,1.49056,0.0101259,0.000806548,3548.35
-1.11689,5.75214e-05,0.397922,0.154929,-0.140667,0.0201975,1.5538,0.0154739,0.00123253,3568.86
-1.11652,6.42621e-05,0.397834,0.147606,0.0247212,0.0210983,1.47728,0.0102555,0.000816874,3540.72
-1.11739,1.50155e-05,0.419845,0.159461,0.0311149,0.0189923,1.63943,0.00167252,0.00013322,3525.6
-1.11654,0.000155226,0.408819,0.150128,-0.211572,0.0210851,1.50178,0.00697655,0.000555696,3554.63
-1.11531,0.000187865,0.33285,0.154373,0.0365441,0.0183093,1.61627,0.00265805,0.000211719,3525.69
-1.11654,-6.86068e-05,0.361635,0.157865,0.0870293,0.0198017,1.60137,0.00487345,0.000388181,3543.31
-1.11741,0.00024437,0.375263,0.145027,0.0489301,0.0206355,1.47318,0.00792385,0.000631151,3558.17
-1.11712,0.000191594,0.353889,0.147731,0.134282,0.0211357,1.48827,0.0135044,0.00107565,3549.76
-1.1168,3.99806e-05,0.378473,0.148801,-0.145425,0.0211465,1.48407,0.00617475,0.000491831,3530.98
-1.11665,0.000218143,0.392417,0.155311,0.0685407,0.0201159,1.56891,0.00262307,0.000208933,3545.47
-1.11686,-1.92804e-05,0.364734,0.155532,-0.012591,0.0201936,1.55693,0.0205651,0.00163806,3554.66
-1.11309,1.34488e-05,0.355376,0.15494,-0.148587,0.0182666,1.62645,0.000743542,5.92246e-05,3517.5
-1.11575,5.95326e-05,0.375941,0.156377,0.00145577,0.0199803,1.57167,0.00323664,0.000257805,3536.9
-1.11725,4.96101e-05,0.356636,0.156034,-0.00874771,0.0199548,1.57281,0.0258845,0.00206176,3570.56
-1.11724,-5.84699e-05,0.356367,0.14877,0.00383254,0.0210919,1.49113,0.00943986,0.000751904,3537.44
-1.11745,0.000153967,0.426277,0.148379,0.0307388,0.0205112,1.50334,0.00290121,0.000231087,3527.55
-1.11654,0.000173479,0.34165,0.158563,-0.0187416,0.0194784,1.6098,0.001352,0.00010769,3514.76
-1.12078,-7.59242e-06,0.411063,0.151391,-0.0824044,0.0194981,1.54564,0.00115551,9.20384e-05,3507.29
-1.11745,0.000341692,0.422417,0.151605,-0.0669848,0.0208738,1.51174,0.00292399,0.000232902,3544.64
-1.11662,-3.5211e-05,0.369731,0.119152,-0.0783674,0.020253,1.31576,0.00208007,0.000165682,3515.64
-1.11654,0.000188624,0.435144,0.158515,0.123033,0.0193518,1.61274,0.00224468,0.000178794,3527.87
-1.11654,0.000284981,0.371818,0.149577,-0.0452948,0.0209997,1.49955,0.0099443,0.000792084,3573.54
-1.11661,-5.03034e-05,0.410303,0.150153,-0.0980603,0.0212577,1.48579,0.00725129,0.00057758,3533.1
-1.11758,-1.04471e-06,0.408303,0.167209,0.00833057,0.0193407,1.68659,0.00455474,0.000362794,3544.89
-1.11685,0.000268227,0.4287,0.150624,-0.132546,0.0207326,1.51474,0.00305373,0.000243236,3525.97
