mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
1.18305,3.9746e-05,0.398599,0.165803,0.0498631,0.020834,1.60826,0.0596136,0.000428942,3461
1.18463,-0.000241675,0.445342,0.193151,-0.0495306,0.0213073,1.83124,0.0698522,0.000502612,3465.94
1.18642,8.53499e-05,0.359919,0.155151,-0.0639106,0.0210267,1.53407,0.112948,0.000812701,3453.79
1.18642,-3.62791e-05,0.390415,0.159874,-0.0527353,0.0213242,1.56626,0.355942,0.00256113,3483.83
1.18305,4.49619e-06,0.434877,0.161097,0.123683,0.0212403,1.57524,0.443292,0.00318964,3502.15
1.1819,7.11559e-05,0.404829,0.179007,0.0538939,0.0202834,1.7593,0.0443022,0.000318771,3454.84
1.18642,7.87648e-05,0.431868,0.160304,-0.170582,0.0207835,1.58174,0.110892,0.000797911,3471.07
1.18263,-8.61655e-05,0.407739,0.183352,-0.0880678,0.0201874,1.78995,0.141857,0.00102071,3467.93
1.18642,0.000192468,0.452954,0.17439,0.0382895,0.0213203,1.66764,0.0293236,0.000210994,3453.07
1.18385,-0.000162627,0.441464,0.179028,0.113157,0.0205811,1.74444,0.0497078,0.000357665,3463.43
1.18642,-0.000193934,0.406963,0.155814,0.0792623,0.0214105,1.52164,0.224518,0.00161549,3463.51
1.18305,-7.70033e-05,0.457486,0.172042,0.106774,0.0195464,1.72732,0.05357,0.000385455,3433.03
1.18296,-0.000174866,0.414086,0.178529,0.0127177,0.0196657,1.7783,0.0227013,0.000163344,3444.04
1.18305,-5.38894e-05,0.469105,0.173699,0.087893,0.0202786,1.69852,0.020824,0.000149836,3440.87
1.18431,-0.000153614,0.424246,0.195477,0.058999,0.0221816,1.81996,0.0144502,0.000103975,3453.76
1.18237,-0.000155702,0.429999,0.190446,-0.0658318,0.0204602,1.84907,0.023349,0.000168004,3450.09
1.1872,-0.000118257,0.466268,0.166601,0.101377,0.0319089,1.38152,0.0210368,0.000151367,3446.48
1.18642,-0.000274335,0.414773,0.159071,-0.0475143,0.0205464,1.57469,0.0232647,0.000167398,3457.25
