mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
0.240859,0.000168318,0.452488,0.159444,0.0321328,1.31361,0.0349464,9.11756e+14,0.000492927,3491.27
0.249428,-7.26196e-05,0.425904,0.177045,-0.00634646,1.34404,0.0388359,1.01189e+15,0.000547064,3488.16
0.250695,0.000182579,0.484861,0.148946,-0.010038,1.25494,0.0359681,5.60042e+14,0.000302778,3458.86
0.250014,-0.000408046,0.482525,0.149689,0.0463564,1.28558,0.0333862,1.0835e+15,0.00058578,3495.5
0.256986,-0.000105549,0.489163,0.172339,-0.130999,1.41376,0.0324024,8.41099e+14,0.000454728,3494.42
0.257094,5.84275e-05,0.42874,0.148165,0.153623,1.27094,0.0330687,6.22424e+14,0.000336504,3462.92
0.253319,2.82477e-05,0.447063,0.152442,0.0889337,1.37005,0.0284383,9.8898e+14,0.000534677,3485.56
0.241487,-0.000293541,0.467441,0.166165,0.156449,1.35037,0.0346409,1.19923e+15,0.000648348,3492.05
0.259633,-0.00036915,0.503341,0.155547,0.0159379,1.32013,0.032615,9.19021e+14,0.000496855,3502.06
0.257609,-2.71591e-05,0.457491,0.162872,0.0978127,1.29938,0.0377489,3.94187e+14,0.000213111,3441.34
0.259374,-0.000178354,0.419184,0.155628,0.222354,1.3486,0.0307559,1.10334e+15,0.000596501,3499.55
0.254242,-0.000275084,0.432862,0.14485,0.0662881,1.21245,0.0394285,8.35832e+14,0.00045188,3476.59
0.245821,-0.000366442,0.486278,0.16952,-0.04821,1.34647,0.035493,9.41587e+14,0.000509055,3489.51
0.252849,-0.000185658,0.482855,0.140128,0.147688,1.25881,0.0321107,7.26175e+14,0.000392595,3474.21
0.251051,-0.000280968,0.464005,0.138101,-0.00737055,1.23244,0.0340595,6.44284e+14,0.000348322,3475.27
0.255906,-0.000241507,0.420906,0.163802,0.0462435,1.36451,0.0319131,1.14707e+15,0.000620146,3504.77
0.253673,-0.000183698,0.45789,0.153885,0.0561372,1.36929,0.0285888,1.0348e+15,0.000559449,3484.88
