mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
-0.140582,-0.000205337,0.460209,0.147927,0.0407981,0.0148802,1.71087,3.93255e+16,0.000377934,3573.42
-0.146988,-4.66659e-05,0.449644,0.146695,0.0128258,0.0144045,1.71036,4.27502e+16,0.000410847,3560.48
-0.14741,-0.00020092,0.395414,0.139456,-0.000831755,0.0156944,1.58468,4.27837e+16,0.000411169,3577.1
-0.147284,-0.000352224,0.416624,0.153225,0.0444926,0.0140324,1.79968,1.79399e+16,0.00017241,3526.72
-0.146955,-0.000315396,0.443113,0.138389,-0.026361,0.0153635,1.59128,5.0697e+16,0.000487219,3575.83
-0.143826,-0.00020299,0.436314,0.146573,-0.047521,0.0142086,1.72561,5.06492e+16,0.00048676,3578.9
-0.147615,-0.000259546,0.4562,0.145689,-0.0911986,0.013955,1.72927,3.97862e+16,0.000382362,3569.63
-0.146699,-0.00024394,0.423263,0.1485,0.0234524,0.0161234,1.64326,6.55323e+16,0.000629792,3587.05
-0.146497,-2.61706e-06,0.414263,0.14869,0.0915925,0.0139622,1.75899,4.42691e+16,0.000425444,3578.48
-0.146774,-0.000313441,0.474776,0.148423,-0.143553,0.0159307,1.6532,8.16838e+16,0.000785015,3605.36
-0.144545,-4.30101e-05,0.448931,0.144301,0.0209505,0.0164397,1.60063,4.06555e+16,0.000390716,3573.45
-0.146289,-2.39747e-05,0.446406,0.145433,-0.253619,0.0154518,1.64918,7.41973e+16,0.000713067,3591.25
-0.155348,-0.000190599,0.413504,0.146665,-0.0172325,0.015124,1.67914,5.57514e+16,0.000535794,3582.34
-0.146443,-7.04306e-05,0.401647,0.133884,-0.0439172,0.0151305,1.56569,5.05677e+16,0.000485976,3568.97
-0.144756,-0.000156723,0.375713,0.148945,0.0416294,0.015342,1.69662,4.71926e+16,0.00045354,3572.69
-0.145174,-0.000274207,0.407406,0.124797,0.100078,0.0149926,1.4878,4.79266e+16,0.000460594,3569.12
-0.151881,0.000116466,0.425435,0.158313,0.103786,0.0155995,1.77189,4.25813e+16,0.000409224,3573.34
-0.14776,-0.000168306,0.4384,0.146254,0.0216077,0.0157028,1.63948,3.16606e+16,0.000304271,3564.47
-0.147526,-1.64483e-05,0.393438,0.153146,-0.0146905,0.014943,1.74392,7.047e+16,0.000677246,3602.26
-0.147122,-7.98821e-05,0.456439,0.14212,-0.103341,0.0156127,1.61569,5.29026e+16,0.000508415,3586.11
-0.149306,-6.34657e-05,0.392182,0.181574,0.113844,0.0172102,1.92452,2.38095e+16,0.000228819,3561.84
-0.146508,-8.32491e-05,0.400571,0.144867,-0.000472707,0.014431,1.69378,4.72722e+16,0.000454305,3574.15
-0.146868,-0.000128046,0.392642,0.152206,-0.125751,0.0138957,1.80257,5.6718e+16,0.000545084,3586.22
-0.147083,-2.96018e-05,0.398239,0.145821,-0.0478626,0.0140358,1.72829,6.75094e+16,0.000648793,3600.2
-0.143413,-0.000305144,0.411293,0.144331,0.0607406,0.0142737,1.69065,5.69646e+16,0.000547454,3582.38
-0.144904,-7.06219e-05,0.46152,0.14219,-0.0221134,0.0135445,1.70263,5.87628e+16,0.000564735,3574.6
-0.146695,-0.00011318,0.362537,0.146157,-0.0535995,0.0141821,1.72499,6.46318e+16,0.000621138,3587.41
