mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
-0.291903,-0.000349234,0.469253,0.153003,-0.086295,0.0259443,1.38275,42071.7,0.000505663,3545.71
-0.293491,2.84219e-05,0.433245,0.196965,0.385394,0.0287798,1.60389,42160.2,0.000506726,3554.66
-0.292058,-0.000112072,0.380059,0.173079,-0.19239,0.0282548,1.4385,45630.9,0.000548441,3558.58
-0.29388,-6.7643e-05,0.488317,0.196098,0.218693,0.0293268,1.60404,43215.6,0.000519411,3548.08
-0.293867,0.000143513,0.431029,0.156242,0.0285121,0.026326,1.36263,41332.5,0.000496779,3543.7
-0.292058,-5.70651e-05,0.421609,0.171931,-0.133917,0.0281909,1.43776,51922.7,0.000624063,3571.71
-0.29386,-0.00017723,0.342989,0.156193,-0.0308299,0.0263186,1.37332,43210,0.000519345,3551.02
-0.293207,3.38265e-05,0.39079,0.199896,0.0930659,0.028957,1.62536,37102,0.000445932,3536.13
-0.290246,-0.000157467,0.399587,0.132589,0.178586,0.0234236,1.32808,56513.1,0.000679235,3579.29
-0.293582,-0.000386838,0.522237,0.186479,-0.0739984,0.0291677,1.51105,40493.4,0.000486694,3544.66
-0.292058,-0.000154661,0.376858,0.172928,-0.0590555,0.0282548,1.43757,43510.5,0.000522956,3557.09
-0.292735,0.000167421,0.46866,0.197033,-0.0453996,0.0295728,1.59758,45301.1,0.000544477,3558.56
-0.292058,-3.83854e-05,0.413315,0.173076,-0.0721535,0.0282678,1.43824,43625.6,0.000524339,3563.21
-0.291713,-0.000313382,0.424553,0.151383,0.172138,0.0265111,1.37177,38341.9,0.000460834,3529.97
-0.29372,7.17694e-06,0.383822,0.156825,-0.0123401,0.0261269,1.41164,40772.1,0.000490043,3546.73
-0.292897,0.00013591,0.409218,0.163662,0.108593,0.0258812,1.44218,40657.7,0.000488668,3555
-0.293924,-0.000258225,0.42462,0.168129,0.0284212,0.0267008,1.46553,35088.8,0.000421735,3544.55
-0.292967,0.000165,0.440473,0.167898,0.164335,0.0280316,1.44975,37737.1,0.000453565,3531.04
-0.290246,-2.90999e-05,0.45987,0.132589,0.09431,0.0234236,1.32808,56038.3,0.000673529,3579.24
-0.293341,0.000119911,0.416008,0.196464,0.122719,0.0292584,1.60184,41268.5,0.000496009,3549.76
-0.293098,-6.85429e-05,0.335999,0.198153,0.118873,0.0292427,1.60167,36639.9,0.000440377,3534.81
-0.293102,-7.22741e-05,0.450208,0.157974,0.0831694,0.026303,1.4181,38576.7,0.000463656,3539.06
-0.2938,-3.64271e-06,0.441669,0.196254,-0.0668262,0.0293326,1.60157,36853.1,0.00044294,3541.4
-0.291246,-1.3693e-05,0.425645,0.162975,0.0455136,0.026802,1.41676,41431.1,0.000497964,3553.26
-0.292659,-4.2924e-05,0.442335,0.170193,0.00087644,0.0279539,1.43995,42257.9,0.000507901,3549.49
-0.292404,-0.000267943,0.423778,0.147534,0.133006,0.0249615,1.38059,45832.2,0.00055086,3557.28
-0.293721,-0.000287724,0.387011,0.161185,-0.0393466,0.0268649,1.42934,38594.5,0.00046387,3538.67
-0.291618,-3.37486e-05,0.446736,0.15713,-0.103473,0.0270117,1.39243,36412.1,0.00043764,3536.33
-0.293517,0.000206826,0.455246,0.198348,-0.230611,0.0294309,1.60409,36536.5,0.000439135,3530.69
-0.292783,-0.000502889,0.505671,0.142027,-0.0378238,0.0262454,1.31797,31382.3,0.000377186,3505.18
-0.293185,-7.30857e-05,0.407766,0.201024,0.303707,0.0293997,1.60266,40479.5,0.000486526,3548.36
-0.294095,-0.000101052,0.429479,0.199399,0.180088,0.0290448,1.61959,33497.4,0.000402608,3530.62
-0.292058,-2.40438e-05,0.438349,0.172693,-0.0800831,0.0282523,1.43626,54355.3,0.000653301,3562.73
-0.296491,-0.000345929,0.429112,0.19881,0.303781,0.0292145,1.622,38054.4,0.000457379,3546.39
-0.291853,9.95676e-05,0.430166,0.150874,0.192271,0.0265258,1.36183,45324.9,0.000544763,3545.23
-0.292718,-7.93015e-05,0.391143,0.15193,0.0501628,0.0256869,1.38838,38678.3,0.000464877,3543.19
-0.292668,-1.85934e-05,0.419891,0.163446,0.0338349,0.0285024,1.40841,34095.9,0.000409801,3529.5
-0.291966,-0.000103653,0.402101,0.171353,-0.169944,0.0279625,1.43708,47893.7,0.000575638,3564.92
-0.29388,4.87928e-05,0.432179,0.196098,0.399442,0.0293268,1.60404,42017.9,0.000505016,3553.88
-0.290408,2.47338e-05,0.462448,0.14028,0.0343332,0.0246262,1.35332,45179.8,0.000543019,3552.02
-0.291986,-2.41029e-05,0.403305,0.152289,-0.0909194,0.0258657,1.38642,37465.5,0.0004503,3549.22
-0.291759,-5.08145e-05,0.41923,0.151677,0.15301,0.0245694,1.42108,42974.4,0.000516513,3559.67
-0.291718,-0.000137287,0.418596,0.194767,0.0818999,0.029694,1.57646,38953.3,0.000468183,3544.72
-0.290578,5.429e-05,0.401515,0.148142,0.15694,0.0262762,1.36843,41433.6,0.000497993,3543.99
-0.29286,-0.000117864,0.479138,0.170071,-0.0990453,0.0274249,1.44671,41377.3,0.000497317,3551.96
-0.290355,-0.000129696,0.386819,0.17368,-0.0734085,0.0304875,1.42122,38723.8,0.000465424,3545.75
-0.294312,-0.000245688,0.427251,0.196122,0.102413,0.0294165,1.59523,35470.6,0.000426324,3535.96
-0.29219,1.32977e-05,0.438573,0.149246,-0.132249,0.0251394,1.37959,43870.5,0.000527283,3552.88
-0.293431,4.24494e-05,0.430688,0.159107,-0.0604734,0.0267788,1.42504,36697.3,0.000441068,3526.87
-0.290514,-0.000295558,0.39478,0.131787,0.0995188,0.023624,1.30516,42064.6,0.000505578,3536.09
