mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
-0.449135,0.000158199,0.472775,0.155751,0.0552129,0.0120887,1.98209,4.091e+13,0.000436541,3574.86
-0.448894,-8.18537e-05,0.458128,0.157009,0.156248,0.0118452,2.01884,7.71407e+13,0.00082315,3588.93
-0.448571,0.000149757,0.47544,0.158919,0.129025,0.0124307,1.98662,4.0808e+13,0.000435452,3554.15
-0.449374,-0.000164382,0.466468,0.154698,0.0537389,0.0117824,1.98611,3.84982e+13,0.000410805,3552.9
-0.449273,1.74642e-05,0.419764,0.156546,-0.00227299,0.0118264,2.01075,3.51599e+13,0.000375183,3549.14
-0.448322,-7.96757e-05,0.4231,0.164195,0.0810295,0.0106748,2.23836,4.63694e+13,0.000494797,3560.62
-0.448032,-0.000133184,0.413502,0.163306,-0.00849473,0.0110033,2.18755,3.05394e+13,0.000325879,3545.79
-0.449185,-2.57497e-05,0.488184,0.154599,-0.0332235,0.0117702,1.98649,5.04452e+13,0.000538289,3556.95
-0.448391,7.35079e-05,0.432209,0.16246,0.00422306,0.012276,2.04901,4.07578e+13,0.000434917,3563.09
-0.449144,3.46707e-05,0.410429,0.157312,0.0160487,0.0114095,2.05852,4.81893e+13,0.000514216,3570.1
-0.448113,4.66628e-05,0.459957,0.165643,0.0925967,0.0117117,2.14766,4.36113e+13,0.000465366,3570.83
-0.447768,-2.08307e-05,0.431643,0.158151,-0.11524,0.0119098,2.02711,2.71687e+13,0.000289911,3548.65
-0.448371,0.000241564,0.477185,0.180629,-0.0517807,0.0117879,2.35586,3.87254e+13,0.000413229,3558.74
-0.449344,0.000311392,0.441777,0.162064,-0.00471718,0.0107429,2.19232,5.61552e+13,0.000599218,3571.23
-0.447249,4.90352e-05,0.449253,0.173079,0.0650871,0.0120451,2.21696,4.26752e+13,0.000455377,3570.31
-0.449193,-0.000314894,0.454086,0.173093,-0.0664695,0.0133755,2.09158,3.67815e+13,0.000392486,3550.93
-0.448336,0.000111188,0.436823,0.156461,0.0423354,0.0119717,1.9968,5.32392e+13,0.000568102,3570.47
-0.448461,0.000118647,0.457573,0.154358,0.138968,0.0120984,1.95743,2.80225e+13,0.000299022,3543
-0.449246,-0.000131513,0.470325,0.155345,0.247222,0.0117978,1.99414,5.64555e+13,0.000602423,3573.8
