mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
0.148347,-5.36941e-05,0.365045,0.202463,-0.0212251,0.0136398,2.46703,1267.87,0.000605033,3567.78
0.148404,-0.000200013,0.447363,0.201664,0.0411288,0.0134845,2.46414,1206.3,0.000575655,3574.32
0.146643,-8.3279e-05,0.422456,0.202682,0.0209643,0.0136918,2.46975,861.14,0.000410941,3565.93
0.149978,-9.59409e-05,0.426912,0.199395,0.0499687,0.0135679,2.43013,978.038,0.000466726,3569.05
0.150356,8.6477e-05,0.445207,0.202662,0.246023,0.0133676,2.4947,1910.06,0.000911492,3574.9
0.14774,3.26605e-05,0.421921,0.198746,0.248836,0.0134784,2.43652,1211.86,0.000578308,3555.28
0.147285,3.10181e-05,0.438269,0.2059,0.160967,0.0134949,2.53814,502.286,0.000239694,3542.93
0.146236,-0.000249643,0.40353,0.208184,-0.0698681,0.0130159,2.63341,1060.84,0.00050624,3565.15
0.144218,-0.000151144,0.381068,0.166962,-0.0201282,0.0145671,1.91946,592.705,0.000282842,3538.49
0.146743,-0.000149855,0.428799,0.201032,-0.0321691,0.0127745,2.55532,835.338,0.000398628,3546.83
0.14774,-0.000307,0.464115,0.19936,-0.0334714,0.0134236,2.44515,1416.31,0.00067587,3569.11
0.149792,-0.00011499,0.464615,0.203655,0.0619464,0.0133008,2.52949,988.879,0.000471899,3573.19
0.148978,-9.48843e-05,0.443692,0.206608,-0.0385158,0.0134751,2.55494,555.792,0.000265227,3544.26
0.147275,-0.000306017,0.469306,0.199732,0.0660073,0.013362,2.45968,1499.78,0.000715706,3566.89
0.147582,-5.86127e-05,0.432126,0.198482,0.0558926,0.0135412,2.42215,1550.05,0.000739695,3573.99
0.147295,4.66432e-05,0.459606,0.206131,-0.0450726,0.013472,2.54227,1336.54,0.000637805,3560.49
0.146888,5.90672e-05,0.400757,0.205678,0.156279,0.0135913,2.52627,530.8,0.000253301,3544.48
0.144378,-0.000106446,0.458237,0.203949,0.0849284,0.0137501,2.48564,483.097,0.000230537,3526.64
0.148957,-9.23495e-06,0.404142,0.195653,0.156259,0.0132415,2.41159,1286.64,0.000613993,3569.4
0.149586,4.43808e-05,0.440686,0.195658,0.25478,0.0134086,2.39518,729.996,0.000348359,3547.67
0.143849,-0.000229677,0.395191,0.204953,-0.00187834,0.0134752,2.51173,568.076,0.000271089,3546.02
0.147396,-3.13302e-05,0.402884,0.206689,0.118653,0.0133007,2.57432,1217.96,0.000581216,3563.47
0.147643,-4.07545e-05,0.370747,0.202136,0.185184,0.0139146,2.43636,350.399,0.000167213,3525.65
0.139972,-0.000107436,0.458706,0.181892,0.115656,0.0126009,2.28366,995.266,0.000474947,3561.86
0.147212,-0.000224594,0.417975,0.206098,0.134175,0.0135331,2.53327,953.834,0.000455175,3559.55
0.148302,-2.07307e-05,0.490213,0.208727,0.164174,0.0133478,2.59412,553.036,0.000263912,3541.05
0.14852,-0.000360365,0.457942,0.20197,0.062856,0.0132806,2.50283,962.801,0.000459454,3570.55
0.147381,-3.65445e-05,0.450213,0.182307,0.0531582,0.0124508,2.29947,357.82,0.000170754,3531.32
0.147749,-6.03224e-05,0.388181,0.205944,0.290948,0.0133669,2.55686,1272.72,0.000607351,3557.39
0.148118,2.6082e-05,0.396104,0.206759,0.167127,0.0136494,2.53016,943.15,0.000450077,3556.59
0.147346,6.9401e-05,0.484588,0.205871,0.118404,0.0134833,2.54037,979.55,0.000467447,3562.05
0.149319,-0.000231542,0.405167,0.201239,-0.0149778,0.0132894,2.49355,1788.99,0.000853715,3587.23
0.148857,-0.000141841,0.377951,0.206566,0.0819083,0.0134362,2.55558,358.775,0.00017121,3537.02
0.147792,0.000171641,0.401265,0.205933,0.0818023,0.0137367,2.50444,283.558,0.000135316,3521.71
