mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
-0.79464,0.000650947,0.479444,0.189144,-0.029883,2.24189,0.0138417,1060.3,0.000477387,3513.54
-0.794796,0.000506697,0.541112,0.184605,-0.0848071,2.26017,0.0132347,471.669,0.000212363,3492.13
-0.794413,0.000569402,0.541014,0.18764,0.0180711,2.34083,0.0129079,1645.43,0.000740835,3546.87
-0.794747,0.000428565,0.497872,0.183382,-0.0249213,2.22072,0.0134696,448.997,0.000202155,3499.24
-0.795105,0.000652035,0.483923,0.183698,0.160991,2.23907,0.0133567,751.698,0.000338442,3505.71
-0.794397,0.000256233,0.493711,0.186143,-0.0333865,2.2668,0.0133219,1110.06,0.000499791,3528.21
-0.794005,0.000400673,0.528987,0.184866,-0.0261157,2.16616,0.014248,434.536,0.000195644,3510.21
-0.793187,0.000702933,0.553867,0.183438,0.144087,2.23647,0.0133318,268.592,0.00012093,3483.82
-0.79388,0.000399235,0.481869,0.177856,0.112362,2.06175,0.0144286,1404.33,0.000632283,3528.28
-0.788732,0.000675791,0.511075,0.160146,0.061827,1.86965,0.0142872,1397.16,0.000629052,3510.23
-0.795123,0.0004265,0.534839,0.183131,-0.0124925,2.25206,0.0131447,398.431,0.000179388,3504.09
-0.794065,0.000681493,0.525406,0.183467,-0.0374007,2.12697,0.0144522,1875.54,0.000844439,3524.99
-0.788284,0.000277295,0.547306,0.162974,-0.0114362,2.0324,0.0124915,826.963,0.000372329,3511.75
-0.794547,0.00034682,0.451564,0.18308,0.0803244,2.11957,0.0146274,423.597,0.000190719,3493.84
-0.793355,0.000191818,0.482239,0.167979,-0.0860189,1.97629,0.0140078,1066.41,0.000480136,3512.03
-0.794623,0.000601545,0.479137,0.184625,-0.11477,2.16447,0.0142474,353.197,0.000159022,3493.64
-0.794609,0.000645365,0.463463,0.18369,-0.100009,2.14942,0.0143475,2154.64,0.0009701,3540.59
-0.794462,8.47159e-05,0.528992,0.183845,0.0965025,2.22966,0.0134313,292.202,0.00013156,3485.73
-0.794415,0.000370803,0.494399,0.17901,-0.0496616,2.09965,0.0141887,2676.9,0.00120524,3542.09
-0.794414,0.00061912,0.661839,0.186797,-0.0106346,2.27225,0.0133019,490.258,0.000220732,3494.51
-0.790136,8.5866e-06,0.475184,0.156996,0.142784,1.72493,0.0162722,1266.9,0.000570406,3518.27
-0.794519,-0.000135755,0.606137,0.183738,-0.115009,2.14665,0.0143792,1469.81,0.000661764,3509.65
-0.794729,0.000610797,0.489583,0.177917,0.0561341,2.0746,0.0142214,887.225,0.000399462,3512.22
-0.794572,0.000520569,0.503247,0.185231,0.0801945,2.18603,0.0141155,327.783,0.00014758,3499.79
-0.79478,0.000160355,0.546025,0.183493,0.131391,2.24336,0.0132866,769.376,0.000346402,3509.87
-0.794305,0.000664518,0.554505,0.185207,0.0751809,2.25816,0.0133778,607.359,0.000273456,3500.09
-0.794747,0.000579114,0.508973,0.18614,0.0239155,2.32777,0.0128218,854.003,0.000384504,3517.14
-0.788101,0.00063758,0.512637,0.161333,-0.0682337,2.01693,0.0124452,602.762,0.000271386,3511.87
-0.794424,0.000589234,0.543055,0.185371,0.0237279,2.30568,0.0129503,455.815,0.000205225,3511.18
-0.794047,0.000159329,0.429656,0.169499,-0.128916,1.98656,0.0141245,835.293,0.00037608,3512.06
-0.794431,0.000518355,0.562394,0.185033,0.0751633,2.24171,0.0134792,633.261,0.000285118,3499.14
-0.794202,0.000372411,0.438381,0.186209,0.0978599,2.25589,0.0133724,481.903,0.000216971,3502.97
-0.794343,0.00051863,0.46492,0.186112,0.238648,2.29288,0.013163,803.435,0.000361736,3524
-0.794774,0.000418008,0.491954,0.185919,0.0327401,2.30421,0.0129608,2619.41,0.00117936,3540.36
-0.794227,0.000565586,0.52099,0.187546,-0.0188853,2.27518,0.0134917,807.321,0.000363486,3516.59
-0.794784,0.000374148,0.575052,0.183767,-0.161186,2.26303,0.0131056,548.603,0.000247001,3503.03
-0.794549,0.000650687,0.519744,0.177965,0.0102325,2.10812,0.0138589,956.864,0.000430816,3528.16
-0.794649,0.00029544,0.47307,0.185294,0.0351981,2.19114,0.0140768,574.466,0.000258646,3501.85
-0.794738,0.00068378,0.53773,0.184523,0.0435704,2.26286,0.0132123,931.374,0.000419339,3516.24
-0.794621,0.000346658,0.505849,0.185945,0.0761809,2.25822,0.0133917,583.956,0.000262919,3498.94
-0.794402,0.000454313,0.538179,0.186397,0.0523975,2.28327,0.0132459,635.907,0.000286309,3507.67
-0.790109,0.000228802,0.52645,0.145103,0.072011,1.62136,0.0161546,1872.29,0.000842976,3509.67
-0.794239,0.000391114,0.57635,0.184471,0.0906538,2.22264,0.0135799,1232.11,0.000554739,3515.68
-0.794673,0.000435885,0.459515,0.185423,0.0144274,2.18669,0.0141167,1608.64,0.000724268,3522.07
-0.789869,0.000693272,0.499129,0.143692,0.0754447,1.61275,0.0160331,1661.11,0.000747893,3520.61
-0.794359,0.000150095,0.455135,0.187393,-0.107676,2.31905,0.0130405,1722.6,0.000775578,3517.1
-0.794694,0.000701183,0.531872,0.183719,-0.0705795,2.2238,0.0134099,554.822,0.000249801,3500.45
-0.794637,0.000631114,0.559521,0.184683,-0.0588606,2.18053,0.0140933,250.474,0.000112773,3467.86
-0.794858,0.000466345,0.483654,0.168512,0.136037,2.00642,0.013714,1552.38,0.000698941,3526.6
-0.794451,0.000162218,0.532559,0.184098,0.0369792,2.14605,0.0144307,2527.32,0.00113789,3557.19
-0.794561,0.000483873,0.548089,0.184354,-0.00535229,2.25101,0.013286,1400.45,0.000630533,3523.81
-0.793793,0.000232784,0.574418,0.182492,0.00391452,2.12834,0.0143275,713.879,0.000321415,3503.62
-0.793773,0.000727999,0.517312,0.170321,-0.0114523,2.01592,0.0139547,2090.09,0.000941036,3509.03
-0.792562,0.000151373,0.459612,0.187969,-0.0725027,2.28624,0.0134483,1004.19,0.000452124,3521.68
-0.794369,0.000465668,0.507955,0.192057,0.0501096,2.26864,0.0141912,538.962,0.000242661,3502.65
-0.795001,0.000372678,0.509053,0.175699,-0.0326098,2.10157,0.0135596,1250.91,0.000563204,3520.38
-0.794577,0.000346684,0.484653,0.183351,0.00306075,2.09405,0.0147767,2505.32,0.00112799,3525.72
-0.794294,9.13914e-05,0.495838,0.186677,0.293474,2.30073,0.0131639,1065.83,0.000479878,3512.73
-0.794515,0.000320129,0.439425,0.185313,0.119643,2.23872,0.0135948,872.3,0.000392742,3529.73
-0.794378,0.000379768,0.46197,0.186154,0.0458469,2.26278,0.0133898,1940.46,0.000873668,3527.07
-0.79388,0.000698513,0.517207,0.185459,-0.000298024,2.26632,0.0133154,810.769,0.000365038,3505.68
-0.791033,6.54438e-05,0.563702,0.162331,-0.0257369,2.01155,0.01271,1940.12,0.000873516,3528.47
-0.794344,9.99246e-05,0.490373,0.185224,-0.0796117,2.26578,0.0132515,484.495,0.000218138,3477.15
-0.794785,0.000371977,0.555178,0.184751,0.0228749,2.25169,0.0133527,570.271,0.000256757,3490.31
-0.794203,8.64904e-05,0.52963,0.187348,-0.102253,2.30324,0.0132135,834.324,0.000375644,3513.53
-0.793805,0.000229903,0.509579,0.16692,-0.167691,1.98134,0.0137956,2008.04,0.000904095,3530.99
-0.794384,0.000144635,0.493618,0.177583,0.0311359,2.13344,0.0135704,627.741,0.000282632,3509.89
-0.794364,0.000488769,0.51351,0.178094,-0.14563,2.11708,0.0139264,1204.3,0.000542221,3517.23
-0.794491,0.000303953,0.48102,0.186364,0.0182068,2.28501,0.0132198,578.204,0.000260329,3499.76
-0.794174,0.000482479,0.497882,0.186635,0.059235,2.3171,0.0129608,1247.24,0.000561556,3525.8
-0.795461,0.000383552,0.46265,0.184957,0.124747,2.27561,0.0130753,1049.61,0.000472574,3521.43
-0.794737,0.000436999,0.487437,0.176832,-0.0652126,2.0698,0.0142479,1764.5,0.000794444,3531.04
-0.794797,0.000312268,0.500113,0.185607,-0.116904,2.31807,0.0128602,2079.8,0.000936405,3548.02
-0.794363,0.000203417,0.553854,0.163088,-0.0307729,1.91574,0.0140886,957.432,0.000431071,3513.42
-0.793655,0.000589258,0.588997,0.181575,0.0467925,2.11111,0.0144495,1506.64,0.000678346,3535.86
-0.794821,0.000528516,0.557063,0.181946,-0.0402692,2.21679,0.0132346,1071.65,0.000482498,3507.47
-0.794629,0.000450112,0.485434,0.17754,0.0329904,2.06855,0.0143162,1141.9,0.000514124,3519.88
-0.794136,0.000373406,0.561642,0.167516,0.0387042,1.95991,0.0141904,711.706,0.000320436,3517.58
-0.794642,0.000677501,0.551412,0.187594,0.0606177,2.33725,0.0129157,1663.1,0.000748791,3534.71
-0.794764,0.000560681,0.53514,0.185944,-0.107946,2.31163,0.0129229,1152.95,0.0005191,3519.88
-0.794151,0.00014018,0.481482,0.183676,0.0220885,2.23127,0.0133292,297.445,0.000133921,3493.27
-0.794631,0.000345618,0.506132,0.188474,-0.186917,2.2769,0.0135544,596.367,0.000268507,3506.54
-0.793654,0.000345738,0.464272,0.18239,0.151968,2.15452,0.0140814,1097.67,0.000494213,3510.9
