mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
-0.286896,-0.000227341,0.353785,0.170827,0.108656,1.58037,0.0236803,1,0.0005,3489.23
-0.289773,-6.71856e-05,0.378696,0.187162,0.154731,1.72467,0.0229822,1,0.0005,3514.65
-0.273531,3.90469e-05,0.396712,0.141428,-0.0311628,1.37278,0.0240966,1,0.0005,3504.83
-0.273469,-4.06314e-05,0.372106,0.140068,0.136728,1.37988,0.0236722,1,0.0005,3513.72
-0.274388,3.31472e-05,0.331054,0.166394,0.237572,1.49947,0.0250982,1,0.0005,3503.59
-0.27368,-5.0137e-05,0.347304,0.13966,-0.00131462,1.37637,0.0237784,1,0.0005,3485.53
-0.273941,0.000218326,0.377067,0.139871,-0.0595806,1.37637,0.0237998,1,0.0005,3489.4
-0.273307,5.76274e-05,0.368974,0.139697,0.0836909,1.37637,0.0237822,1,0.0005,3503.19
-0.273574,3.99137e-06,0.365637,0.139253,0.127487,1.37291,0.023797,1,0.0005,3511.13
-0.273602,-8.50795e-06,0.330266,0.165419,0.112246,1.53496,0.0236242,1,0.0005,3479.84
-0.263025,2.82911e-05,0.33045,0.200619,-0.137638,1.59599,0.0313667,1,0.0005,3496.22
-0.274288,4.16662e-05,0.383089,0.152359,0.0443992,1.44994,0.023901,1,0.0005,3508.25
-0.259618,0.000242559,0.412896,0.170899,0.168782,1.56021,0.0243942,1,0.0005,3495.32
-0.272884,0.000139852,0.450291,0.140155,0.194142,1.37723,0.0237409,1,0.0005,3490.4
-0.27378,-9.41328e-05,0.317756,0.139302,-0.120666,1.37456,0.0237734,1,0.0005,3500.31
-0.276748,-9.58732e-05,0.358708,0.167864,0.0219234,1.55963,0.0236033,1,0.0005,3498.1
-0.261723,1.63463e-05,0.350489,0.164388,-0.0872676,1.40032,0.0302939,1,0.0005,3499.95
-0.275376,-3.56319e-06,0.373014,0.160956,0.0793841,1.46725,0.0256334,1,0.0005,3527.04
-0.273652,0.000160005,0.358019,0.139082,0.0980569,1.37388,0.0238249,1,0.0005,3504.67
-0.27375,7.52151e-05,0.361236,0.138853,0.13066,1.36307,0.023928,1,0.0005,3505.02
-0.273574,-4.15529e-05,0.320454,0.139253,0.0139314,1.37291,0.023797,1,0.0005,3499.87
-0.273632,0.000132521,0.349613,0.13928,0.0761554,1.37637,0.0237399,1,0.0005,3499.04
-0.272437,2.89698e-05,0.346804,0.167456,0.146975,1.53702,0.0245275,1,0.0005,3507.24
-0.273625,2.47688e-05,0.37941,0.1395,0.00573116,1.36319,0.0239573,1,0.0005,3513.08
-0.273674,-7.56356e-05,0.356448,0.140721,0.018461,1.38294,0.023787,1,0.0005,3514.27
-0.27375,0.00016541,0.380829,0.139527,0.136901,1.37864,0.0237259,1,0.0005,3495.6
-0.257405,8.78966e-05,0.467457,0.128905,0.202966,1.32508,0.0232835,1,0.0005,3482.14
-0.274072,1.49134e-05,0.350913,0.139738,0.0033215,1.37017,0.0238941,1,0.0005,3509.52
-0.27379,3.88307e-05,0.420368,0.139375,0.0776308,1.37434,0.0238041,1,0.0005,3501.83
-0.284492,4.05191e-05,0.337361,0.1799,0.194964,1.55785,0.0269875,1,0.0005,3496.82
-0.273945,0.000131303,0.357685,0.139929,0.210211,1.36272,0.0240906,1,0.0005,3495.34
-0.27375,0.000125274,0.365556,0.140369,0.0577968,1.3744,0.0238608,1,0.0005,3503.87
-0.273472,-0.000112331,0.34511,0.138422,-0.0480946,1.3665,0.0238242,1,0.0005,3474.74
-0.273912,-1.54666e-05,0.340709,0.162598,0.23057,1.48777,0.0249262,1,0.0005,3510.31
-0.277468,0.000193234,0.337965,0.165399,0.243868,1.55067,0.0230709,1,0.0005,3500.18
-0.273189,-4.47878e-05,0.393903,0.141325,0.13915,1.3817,0.0238377,1,0.0005,3486.36
-0.276285,-9.52771e-05,0.346286,0.17677,0.10418,1.58009,0.0249656,1,0.0005,3507.52
-0.273723,-6.60941e-06,0.44882,0.153952,-0.0211156,1.42995,0.0251333,1,0.0005,3489.91
-0.27375,0.000234179,0.380623,0.13907,0.139638,1.37919,0.0236702,1,0.0005,3493.78
-0.27386,0.000187949,0.388786,0.139443,0.110251,1.37919,0.023708,1,0.0005,3482.73
