mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
-0.379935,-0.000391761,0.397253,0.172992,-0.0843473,0.0296025,1.4407,0.122657,0.000144071,3488.45
-0.363859,-0.000382117,0.36398,0.224964,-0.111299,0.0339352,1.67703,0.654298,0.000768525,3524.53
-0.363847,-7.81714e-05,0.341306,0.221005,-0.210854,0.0332983,1.68291,0.326606,0.000383625,3494.05
-0.364849,-0.000293812,0.398171,0.165524,-0.0231106,0.028697,1.4325,0.659929,0.000775139,3516.85
-0.36401,-0.000365053,0.39281,0.221989,-0.112415,0.0337884,1.66544,0.800532,0.000940288,3522.93
-0.363789,-0.000115224,0.353851,0.227066,-0.308313,0.0330808,1.70457,0.590529,0.000693624,3514.08
-0.364058,-0.000684416,0.408911,0.223711,-0.190935,0.0337648,1.67735,0.382526,0.000449308,3506.48
-0.366649,-0.000319384,0.387569,0.175557,0.047221,0.0326417,1.41018,0.645795,0.000758538,3521.37
-0.379035,-0.000567563,0.481865,0.17758,0.0634991,0.032317,1.42276,1.0712,0.00125821,3504
-0.364196,-0.000351428,0.432078,0.222649,-0.10077,0.0335833,1.68192,0.868941,0.00102064,3517.59
-0.373796,-0.000253573,0.39229,0.208972,0.195865,0.0316793,1.64158,0.132529,0.000155666,3497.67
-0.363847,-0.000607581,0.436425,0.222304,-0.0677269,0.0335377,1.68192,0.398079,0.000467575,3502.51
-0.364002,-0.000450297,0.45831,0.162618,-0.0497693,0.0289709,1.40002,0.570047,0.000669566,3515.67
-0.362809,-0.000407514,0.395821,0.224517,0.0145953,0.0338828,1.67602,0.2495,0.000293058,3498.05
-0.365136,-0.000303577,0.421948,0.155935,-0.0630198,0.0297103,1.35738,0.62649,0.000735863,3507.84
-0.373501,-0.000334314,0.464881,0.205696,-0.0946894,0.0333514,1.56097,0.579381,0.000680529,3516.65
-0.359867,-0.000307744,0.46564,0.164985,-0.00758163,0.0280959,1.42671,0.859294,0.00100931,3501.27
-0.378997,-0.000492265,0.388925,0.167708,-0.0559103,0.0321741,1.3671,0.357422,0.000419821,3500.87
-0.369951,-0.000278858,0.356728,0.21615,0.133277,0.0318883,1.67586,0.185881,0.000218333,3496.23
-0.364118,-0.000316772,0.371228,0.222564,-0.108508,0.033572,1.68192,0.189357,0.000222415,3485.67
-0.363847,-0.000465158,0.420398,0.221968,-0.244125,0.0335143,1.67948,0.46993,0.000551971,3511.15
-0.379741,-0.00028674,0.38796,0.188993,-0.0236813,0.0243512,1.68702,0.363698,0.000427192,3498.54
-0.366129,-0.000234657,0.40447,0.168982,0.0265301,0.0298594,1.43388,0.203433,0.000238948,3497.63
-0.378677,-0.000498261,0.461365,0.18873,0.170634,0.0240652,1.68759,0.356857,0.000419157,3508.64
