mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
0.548497,0.000287644,0.47354,0.166555,0.0962197,0.0389219,1.29436,636.757,0.000224048,3378.19
0.546826,0.000196669,0.369189,0.230916,-0.192405,0.0329239,1.76131,800.922,0.000281811,3392
0.556313,0.000225209,0.441175,0.20894,0.0181813,0.0407526,1.47082,504.867,0.000177642,3375.61
0.560673,0.000340322,0.389775,0.164974,-0.188833,0.0255343,1.49272,1248.83,0.00043941,3398.54
0.560179,0.000212926,0.407647,0.165976,-0.215179,0.0258438,1.49439,1952.98,0.000687171,3427.26
0.561275,0.000423704,0.360693,0.165244,-0.152288,0.0260763,1.47269,1776.31,0.000625011,3421.93
0.558685,0.000293983,0.383857,0.161475,-0.128393,0.0287687,1.41006,676.668,0.000238091,3385.8
0.559404,3.85673e-05,0.41484,0.173883,-0.014558,0.0251355,1.55864,662.391,0.000233068,3379.95
0.569128,0.000336196,0.435093,0.162049,0.0750643,0.0218197,1.55495,1158.07,0.000407478,3419.03
0.560472,0.000478012,0.401835,0.163493,-0.161684,0.0262172,1.46253,2125.89,0.000748011,3435.81
0.560571,0.000215021,0.391603,0.166634,0.0589539,0.0266861,1.46598,880.252,0.000309724,3401.55
0.559657,0.000251429,0.383741,0.160091,-0.136786,0.0257625,1.45129,1259.58,0.000443193,3396.48
0.559833,0.000352934,0.469375,0.149625,-0.0898948,0.0261138,1.38202,1269.97,0.000446848,3405.19
0.54914,0.000272801,0.423937,0.179767,-0.108477,0.0298624,1.49319,1930.8,0.000679369,3428.2
0.563949,0.000326839,0.407583,0.155993,-0.0954857,0.0259764,1.41802,1377.72,0.000484764,3421.82
0.561071,0.000297124,0.379384,0.167409,-0.152841,0.0261387,1.48295,1567.68,0.0005516,3408.13
0.55994,0.000215645,0.377862,0.165934,-0.0760741,0.0264492,1.47961,1184.99,0.00041695,3414.56
0.549949,0.000336964,0.446495,0.193962,-0.14248,0.0345226,1.49579,1963.7,0.000690943,3437.44
0.550479,9.33564e-05,0.468003,0.241989,-0.177815,0.0337885,1.809,1269.03,0.000446519,3427.54
0.560867,0.000218574,0.385038,0.166069,-0.206885,0.025956,1.48189,2610.51,0.000918531,3460.61
0.560676,0.000302284,0.358664,0.166659,-0.0958774,0.0260603,1.48092,2159.14,0.000759712,3436.38
0.540951,0.000143608,0.382842,0.151466,-0.090272,0.0223363,1.47624,1549.47,0.000545194,3419.16
0.550977,0.000153083,0.433367,0.215364,0.048177,0.0345476,1.6144,989.988,0.000348336,3412.34
0.561312,0.000337627,0.439021,0.16551,-0.00835805,0.0265202,1.46167,1597.04,0.000561933,3423.49
0.559624,0.00028813,0.395487,0.178547,-0.0562874,0.0330738,1.42503,445.764,0.000156846,3367.17
0.616889,0.000154986,0.39907,0.210582,0.278401,0.0421444,1.46613,680.188,0.00023933,3388.06
0.558031,0.000612132,0.393868,0.213529,-0.0756102,0.0336878,1.61908,959.226,0.000337512,3398.77
0.551729,0.000311971,0.463533,0.195432,-0.151126,0.034139,1.50995,1546.63,0.000544194,3433.88
0.597274,0.000431141,0.37343,0.201428,0.0351308,0.0423456,1.42264,424.282,0.000149287,3366.85
0.55718,0.000385314,0.427697,0.175523,0.0755688,0.0258166,1.5448,1696.85,0.000597051,3418.42
0.554026,9.00797e-05,0.386362,0.24385,0.10517,0.0314014,1.86464,309.391,0.000108862,3358.25
0.561275,0.000235069,0.399913,0.168599,-0.0209076,0.0258363,1.50805,857.365,0.000301671,3384.47
0.560536,0.000200804,0.407891,0.166782,-0.00921821,0.0261832,1.47726,3251.07,0.00114392,3463.79
0.557328,0.000555959,0.424397,0.173243,-0.013505,0.0261858,1.52625,2416.05,0.000850108,3438.27
0.602002,0.000321433,0.432469,0.197905,-0.126202,0.0406766,1.40435,770.005,0.000270933,3395.61
0.561275,0.000223042,0.437609,0.166818,-0.0896295,0.0257289,1.49721,2843.15,0.00100039,3442.45
0.556674,0.000201171,0.412357,0.163282,-0.181106,0.0260411,1.46225,1480.21,0.000520823,3420.19
0.561265,0.000261443,0.444528,0.163706,-0.0927272,0.0266008,1.45294,1631.34,0.000574001,3430.77
0.558091,0.000426399,0.430745,0.18231,0.0384111,0.025881,1.59898,773.4,0.000272127,3393.79
0.561277,0.000373653,0.41435,0.166665,-0.149183,0.0259427,1.49353,4658.47,0.00163912,3465.19
0.560615,0.000474507,0.443738,0.167954,-0.108171,0.0258572,1.50394,1569.02,0.000552073,3425.02
0.562046,0.000265315,0.402737,0.164401,-0.012618,0.0259477,1.46742,1505.47,0.000529712,3412.39
0.553804,0.00024476,0.368324,0.147729,-0.134812,0.0253785,1.37925,1012.98,0.000356424,3410.93
0.560472,0.000150286,0.414071,0.165648,0.0269661,0.0264118,1.46814,1928.72,0.000678637,3440.17
0.560744,0.000337439,0.392547,0.166442,-0.205764,0.0259571,1.49127,2966.31,0.00104372,3445.51
0.561275,0.000274048,0.390432,0.167922,-0.315105,0.0258209,1.50856,1336.64,0.000470306,3413.19
0.567795,0.000464179,0.460889,0.162066,-0.0951421,0.0276011,1.43516,1113.51,0.000391796,3407.16
0.557586,0.000400844,0.382285,0.172793,0.0738609,0.0281614,1.46026,886.37,0.000311877,3398.88
0.560811,0.00038115,0.378775,0.164798,-0.0721407,0.0263465,1.45205,1827.94,0.000643176,3428.58
0.559846,0.000103862,0.372375,0.162013,-0.123687,0.0256779,1.46494,2286.24,0.000804432,3443.57
0.585094,0.000431813,0.387579,0.199942,0.0927767,0.0246132,1.76498,990.641,0.000348565,3420.76
0.5574,0.000232305,0.350684,0.152529,-0.110092,0.0267876,1.38289,3152.85,0.00110936,3453.59
0.568518,0.000445303,0.421232,0.207259,-0.0992476,0.0268957,1.75416,490.853,0.000172711,3381.89
0.55713,0.000270279,0.442053,0.162521,-0.105543,0.0277108,1.40852,1443.83,0.000508024,3404.23
0.559606,-6.02138e-06,0.411678,0.12094,-0.0801885,0.0276532,1.21525,1365.83,0.000480578,3395
0.560888,0.000606915,0.414236,0.167593,-0.00665245,0.0262454,1.47523,1992.11,0.000700941,3436.1
0.560472,3.74829e-05,0.465087,0.160361,-0.00975961,0.02646,1.42882,1443.07,0.000507757,3413.98
0.559993,0.000361279,0.383903,0.15882,-0.0341235,0.0272501,1.41849,993.248,0.000349483,3407.57
0.560277,0.000204216,0.381331,0.170547,-0.221698,0.0256215,1.52395,2088.98,0.000735024,3429.8
0.555125,0.000359876,0.382695,0.164667,-0.041271,0.0281367,1.42051,1297.29,0.000456462,3404.47
0.562124,0.000219991,0.420801,0.169391,0.0717165,0.0262593,1.49071,1405.18,0.000494424,3415.38
0.56133,0.000562515,0.439242,0.167955,-0.0675604,0.0261055,1.49044,2073.15,0.000729455,3429.76
0.561643,0.000562189,0.395576,0.170568,-0.157043,0.0253355,1.52762,1717.86,0.000604445,3420.45
0.556647,0.000470069,0.419083,0.152293,0.0524512,0.0283225,1.35661,2372.53,0.000834793,3433.39
0.568261,0.000334554,0.388663,0.146827,0.0530418,0.0360873,1.24487,1252.9,0.000440845,3403.43
0.551324,0.000343914,0.352236,0.179875,-0.170905,0.0338624,1.41981,2126.8,0.000748333,3427.79
0.541199,0.000335322,0.400861,0.201668,0.0112373,0.0284741,1.66793,647.4,0.000227793,3394.24
0.562174,0.000405831,0.405504,0.199778,-0.0432853,0.0289095,1.63489,717.679,0.000252521,3406.63
0.560472,0.000105305,0.42757,0.166665,-0.123039,0.02613,1.4787,1255.62,0.000441801,3419.49
0.560472,0.000446602,0.409579,0.161372,0.0790741,0.0264065,1.43645,1951.4,0.000686617,3425.73
0.560277,0.000297784,0.432672,0.173609,-0.0708818,0.0250708,1.56489,2026.52,0.000713049,3435.77
0.552709,0.000277232,0.426284,0.169493,0.10083,0.0342066,1.36057,1255.39,0.000441718,3414
0.554565,0.000319158,0.354518,0.188431,-0.173864,0.0346314,1.46669,1743.99,0.000613637,3427.51
0.562236,0.000418433,0.444839,0.157298,-0.057548,0.0252774,1.44882,2196.42,0.000772827,3436.6
0.560179,0.000225361,0.379372,0.165745,-0.198697,0.025824,1.49401,1308.89,0.000460544,3420.47
0.551629,0.000311304,0.414997,0.197045,0.0463268,0.0325794,1.54686,1531.96,0.000539033,3443.37
0.549236,0.000526532,0.437649,0.176884,-0.0207412,0.0295974,1.47393,1152.71,0.000405591,3401.22
0.560472,8.99407e-05,0.349855,0.165015,0.0458063,0.0260008,1.46057,1085.73,0.000382025,3407.61
0.551294,0.000331047,0.407063,0.20204,-0.0531529,0.032556,1.57604,1196.91,0.000421143,3424.92
0.560794,0.00042941,0.40335,0.167896,-0.188188,0.0262798,1.47523,2070.22,0.000728423,3432.84
0.557904,0.000382252,0.39857,0.14776,-0.144769,0.0267182,1.34589,1893.8,0.000666349,3438.71
0.614107,0.000258679,0.369146,0.248427,0.28179,0.035748,1.79943,356.96,0.000125599,3366.4
0.563212,0.0001473,0.357785,0.181035,-0.143314,0.0351816,1.4205,761.409,0.000267908,3413.17
0.556674,0.000155489,0.372672,0.167479,-0.181106,0.0265078,1.48436,1443.48,0.000507899,3407.96
0.558283,0.000580334,0.478044,0.173235,-0.0478343,0.026423,1.51494,1074.89,0.00037821,3404.78
0.596115,0.000133961,0.351798,0.192204,0.0909167,0.029706,1.57971,808.513,0.000284482,3382.53
0.560874,0.000312618,0.38759,0.168719,-0.044928,0.026384,1.47075,1329.26,0.00046771,3420.34
0.555966,0.000427907,0.410088,0.172738,-0.0727792,0.0269729,1.47848,1073.87,0.000377849,3411.3
0.558093,0.00030545,0.36604,0.190244,-0.227714,0.0272041,1.60504,926.701,0.000326067,3404.86
0.560638,0.000211654,0.412105,0.167023,-0.110647,0.0260564,1.48516,1545.65,0.00054385,3433.05
0.560472,0.000340548,0.397006,0.168672,-0.0302229,0.0257923,1.50911,2454.59,0.000863667,3446.28
0.557946,0.000195965,0.396568,0.233527,-0.0454253,0.0327474,1.7646,1172.74,0.000412637,3413.15
0.55662,0.00056864,0.397388,0.152902,-0.0671144,0.0272013,1.3852,4736.88,0.00166671,3463.6
0.57623,0.000420627,0.439822,0.162721,-0.072962,0.034333,1.33394,568.239,0.00019994,3375.74
0.561275,0.00031889,0.347122,0.172529,-0.178279,0.026247,1.52212,1408.03,0.000495426,3411.82
0.554944,0.000307955,0.399682,0.185262,-0.0332561,0.0248981,1.63757,1925.86,0.000677629,3436.72
0.561038,0.000348013,0.321629,0.166863,-0.163599,0.025946,1.48893,2000.82,0.000704006,3427.29
0.586776,0.000365151,0.374707,0.174916,0.0310803,0.0272204,1.51665,1463.33,0.000514883,3422.47
0.550352,0.000233477,0.432609,0.219545,-0.0861751,0.0335918,1.6683,1258.46,0.0004428,3427.77
0.560744,0.000268434,0.378398,0.249812,-0.130494,0.0372779,1.77616,754.829,0.000265593,3409.27
0.583082,0.000104137,0.382407,0.177428,0.0256081,0.0252063,1.58247,922.774,0.000324686,3407.19
0.561038,0.000476062,0.368492,0.167767,-0.154521,0.0260475,1.48893,1862.76,0.000655429,3428.35
0.544573,0.000166834,0.407518,0.200545,0.0928719,0.0334358,1.551,806.034,0.00028361,3401.09
0.561119,0.000231535,0.419892,0.167284,-0.181774,0.0259974,1.48972,1986.85,0.00069909,3441.52
0.549153,0.000236425,0.345075,0.174522,0.0229223,0.0289593,1.46925,1376.23,0.000484239,3408.81
0.55225,0.000165076,0.362014,0.197571,-0.0220054,0.0325718,1.55407,1159.33,0.00040792,3411.75
0.560472,0.000227058,0.408583,0.167009,-0.154026,0.0261688,1.4787,1131.06,0.000397974,3412.73
0.544657,0.000425331,0.384562,0.190283,-0.117556,0.0341013,1.44776,1422.91,0.000500662,3423.05
0.592195,5.24672e-05,0.361063,0.191577,0.0577621,0.0270327,1.63124,1040.51,0.00036611,3408.5
0.553654,0.000396069,0.397245,0.222229,-0.00734189,0.0311597,1.72597,872.812,0.000307106,3409.54
0.538755,0.000417723,0.404713,0.211534,-0.0414883,0.0278553,1.75933,1403.96,0.000493994,3436.16
0.541401,0.000269208,0.388251,0.207205,-0.0670334,0.027299,1.74653,1787.85,0.000629069,3426.97
0.551459,0.000326953,0.338577,0.176413,-0.0321786,0.032776,1.42473,1490.6,0.000524479,3420.91
0.555971,0.000568769,0.417371,0.152552,0.0338255,0.0265485,1.39416,2006.45,0.000705985,3432.54
0.570785,0.000485208,0.442102,0.191252,-0.09647,0.0337813,1.48562,486.431,0.000171155,3398.15
0.549962,0.000302035,0.387803,0.18897,-0.0989717,0.0351478,1.44965,2961.38,0.00104199,3453.03
0.55632,0.000224088,0.393497,0.170955,-0.0083252,0.02598,1.51797,2345.94,0.000825439,3433.44
0.577156,0.000227064,0.401843,0.147947,0.0432451,0.0241831,1.41002,1242.49,0.000437182,3415.81
0.561265,0.000339951,0.404742,0.164517,-0.122642,0.0266924,1.45294,1583.42,0.000557138,3433.47
0.561275,0.00052006,0.423549,0.166297,-0.056287,0.0257709,1.49692,1214,0.000427157,3411.75
0.560234,0.000441015,0.366354,0.157281,-0.0103743,0.0253924,1.43477,1705.97,0.00060026,3423.05
0.560676,0.000278036,0.403449,0.167882,-0.0463886,0.0263633,1.47146,1909.36,0.000671825,3442.83
